Round,AI Rank,State,Institute,Course,Quota,Category
0,825,Jammu and Kashmir,"AIIMS, Jammu",PAEDIATRIC SURGERY 6 YRS,AIIMS-All India,UR
0,827,Odisha,"AIIMS, Bhubaneswar",RADIO DIAGNOSIS,AIIMS-All India,SC
0,831,Pondicherry,"JIPMER, Puducherry",RADIATION ONCOLOGY,JIMPER-Inst. Pref,INST (JIPMER)
0,839,Chandigarh,"PGIMER, Chandigarh",GENERAL MEDICINE,PGIMER-All India,SC
0,840,Gujarat,"AIIMS, Rajkot",ORTHOPAEDICS,AIIMS-All India,EWS
0,844,Rajasthan,"AIIMS, Jodhpur",GENERAL MEDICINE,AIIMS-All India,SC
0,845,Maharashtra,"AIIMS, Nagpur",GENERAL SURGERY,AIIMS-All India,OBC
0,848,Andhra Pradesh,"AIIMS, Mangalagiri",OPHTHALMOLOGY,AIIMS-All India,OBC
0,852,Madhya Pradesh,"AIIMS, Bhopal",GENERAL SURGERY,AIIMS-All India,OBC
0,856,Odisha,"AIIMS, Bhubaneswar",RADIATION ONCOLOGY,AIIMS-All India,OBC
0,865,Chandigarh,"PGIMER, Chandigarh",OPHTHALMOLOGY,PGIMER-All India,OBC
0,867,Madhya Pradesh,"AIIMS, Bhopal",OBG,AIIMS-All India,EWS
0,868,Telangana,"AIIMS, Bibinagar",RADIATION ONCOLOGY,AIIMS-All India,UR
0,872,Madhya Pradesh,"AIIMS, Bhopal",EMERGENCY MEDICINE,AIIMS-All India,OBC
0,881,Rajasthan,"AIIMS, Jodhpur",RADIO DIAGNOSIS,AIIMS-All India,ST
0,882,Gujarat,"AIIMS, Rajkot",RADIATION ONCOLOGY,AIIMS-All India,UR
0,885,Madhya Pradesh,"AIIMS, Bhopal",PAEDIATRIC SURGERY 6 YRS,AIIMS-Inst. Pref,UR-AIIMS-IP
0,892,Chandigarh,"PGIMER, Chandigarh",ANAESTHESIOLOGY,PGIMER-All India,OBC
0,893,Pondicherry,"JIPMER, Puducherry",PATHOLOGY,JIPMER-All India,OBC
0,895,Chhattisgarh,"AIIMS, Raipur",ORTHOPAEDICS,AIIMS-All India,OBC
0,902,Maharashtra,"AIIMS, Nagpur",ORTHOPAEDICS,AIIMS-Inst. Pref,UR-AIIMS-IP
0,905,Gujarat,"AIIMS, Rajkot",ANAESTHESIOLOGY,AIIMS-All India,UR
0,910,Uttar Pradesh,"AIIMS, Gorakhpur",OBG,AIIMS-All India,OBC
0,913,Rajasthan,"AIIMS, Jodhpur",PSYCHIATRY,AIIMS-All India,OBC
0,916,Uttar Pradesh,"AIIMS, Gorakhpur",OBG,AIIMS-All India,OBC
0,919,Pondicherry,"JIPMER, Puducherry",ANAESTHESIOLOGY,JIMPER-Inst. Pref,INST (JIPMER)
0,923,Rajasthan,"AIIMS, Jodhpur",EMERGENCY MEDICINE,AIIMS-All India,EWS
0,924,Gujarat,"AIIMS, Rajkot",ANAESTHESIOLOGY,AIIMS-All India,UR
0,926,Rajasthan,"AIIMS, Jodhpur",PATHOLOGY,AIIMS-All India,UR
0,930,Karnataka,"NIMHANS, Bangalore",PMR,NIMHANS-All India,UR
0,934,Jammu and Kashmir,"AIIMS, Jammu",ANAESTHESIOLOGY,AIIMS-All India,UR
0,935,Odisha,"AIIMS, Bhubaneswar",OBG,AIIMS-All India,EWS
0,938,Odisha,"AIIMS, Bhubaneswar",OPHTHALMOLOGY,AIIMS-All India,OBC
0,942,Delhi,"AIIMS, Delhi",ANAESTHESIOLOGY,AIIMS-All India,OBC
0,951,Odisha,"AIIMS, Bhubaneswar",COMMUNITY MEDICINE,AIIMS-All India,UR
0,953,Bihar,"AIIMS, Patna",OBG,AIIMS-All India,EWS
0,955,Jammu and Kashmir,"AIIMS, Jammu",PATHOLOGY,AIIMS-All India,UR
0,958,Madhya Pradesh,"AIIMS, Bhopal",RADIO DIAGNOSIS,AIIMS-All India,SC
0,967,Pondicherry,"JIPMER, Puducherry",EMERGENCY MEDICINE,JIPMER-All India,EWS
0,970,Uttar Pradesh,"AIIMS, Rai Bareli",GENERAL SURGERY,AIIMS-All India,OBC
0,973,Maharashtra,"AIIMS, Nagpur",ORTHOPAEDICS,AIIMS-All India,OBC
0,983,Andhra Pradesh,"AIIMS, Mangalagiri",EMERGENCY MEDICINE,AIIMS-All India,OBC
0,985,Uttar Pradesh,"AIIMS, Rai Bareli",OBG,AIIMS-All India,OBC
0,986,Madhya Pradesh,"AIIMS, Bhopal",OPHTHALMOLOGY,AIIMS-All India,OBC
0,987,Maharashtra,"AIIMS, Nagpur",OBG,AIIMS-All India,EWS
0,988,Pondicherry,"JIPMER, Puducherry",PATHOLOGY,JIPMER-All India,OBC
0,989,Madhya Pradesh,"AIIMS, Bhopal",ANAESTHESIOLOGY,AIIMS-All India,OBC
0,991,Chandigarh,"PGIMER, Chandigarh",ANAESTHESIOLOGY,PGIMER-All India,OBC
0,995,Chandigarh,"PGIMER, Chandigarh",IHBT,PGIMER-All India,UR
0,999,Rajasthan,"AIIMS, Jodhpur",RADIO DIAGNOSIS,AIIMS-All India,ST
0,1009,Uttarakhand,"AIIMS, Rishikesh",PATHOLOGY,AIIMS-All India,UR
0,1012,Maharashtra,"AIIMS, Nagpur",OPHTHALMOLOGY,AIIMS-All India,OBC
0,1016,Uttarakhand,"AIIMS, Rishikesh",ANAESTHESIOLOGY,AIIMS-All India,OBC
0,1019,Rajasthan,"AIIMS, Jodhpur",PAEDIATRICS,AIIMS-All India,OBC-PwD
0,1020,Chandigarh,"PGIMER, Chandigarh",PSYCHIATRY,PGIMER-All India,OBC
0,1021,Maharashtra,"AIIMS, Nagpur",GENERAL SURGERY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,1027,Chhattisgarh,"AIIMS, Raipur",ENT,AIIMS-All India,OBC
0,1030,Jammu and Kashmir,"AIIMS, Jammu",OBG,AIIMS-All India,OBC
0,1032,Delhi,"AIIMS, Delhi",PATHOLOGY,AIIMS-All India,OBC
0,1036,Delhi,"AIIMS, Delhi",EMERGENCY MEDICINE,AIIMS-Inst. Pref,UR-AIIMS-IP
0,1037,Odisha,"AIIMS, Bhubaneswar",PSYCHIATRY,AIIMS-All India,OBC
0,1048,Rajasthan,"AIIMS, Jodhpur",PATHOLOGY,AIIMS-All India,UR
0,1059,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",OBG,AIIMS-All India,OBC
0,1066,Chandigarh,"PGIMER, Chandigarh",GENERAL MEDICINE,PGIMER-All India,ST
0,1074,Chandigarh,"PGIMER, Chandigarh",PAEDIATRICS,PGIMER-Rural,UR-RA
0,1075,Chhattisgarh,"AIIMS, Raipur",EMERGENCY MEDICINE,AIIMS-All India,OBC
0,1076,Odisha,"AIIMS, Bhubaneswar",PATHOLOGY,AIIMS-All India,UR
0,1084,Maharashtra,"AIIMS, Nagpur",PATHOLOGY,AIIMS-All India,UR
0,1085,Delhi,"AIIMS, Delhi",ANAESTHESIOLOGY,AIIMS-All India,EWS
0,1093,Delhi,"AIIMS, Delhi",PSYCHIATRY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,1098,Odisha,"AIIMS, Bhubaneswar",ANAESTHESIOLOGY,AIIMS-All India,OBC
0,1100,Bihar,"AIIMS, Patna",PATHOLOGY,AIIMS-All India,UR
0,1102,Gujarat,"AIIMS, Rajkot",RADIO DIAGNOSIS,AIIMS-All India,SC
0,1104,Pondicherry,"JIPMER, Puducherry",ANAESTHESIOLOGY,JIPMER-All India,EWS
0,1119,Jharkhand,"AIIMS, Deoghar",OBG,AIIMS-All India,OBC
0,1133,Uttarakhand,"AIIMS, Rishikesh",GENERAL MEDICINE,AIIMS-All India,SC
0,1139,Odisha,"AIIMS, Bhubaneswar",ENT,AIIMS-Inst. Pref,UR-AIIMS-IP
0,1144,Chandigarh,"PGIMER, Chandigarh",ENT,PGIMER-All India,OBC
0,1145,Gujarat,"AIIMS, Rajkot",GENERAL SURGERY,AIIMS-All India,OBC
0,1146,Chhattisgarh,"AIIMS, Raipur",RADIO DIAGNOSIS,AIIMS-All India,SC
0,1147,Pondicherry,"JIPMER, Puducherry",ORTHOPAEDICS,JIMPER-Inst. Pref,INST (JIPMER)
0,1149,Delhi,"AIIMS, Delhi",BIOCHEMISTRY,AIIMS-All India,OBC
0,1153,Uttarakhand,"AIIMS, Rishikesh",PSYCHIATRY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,1156,Gujarat,"AIIMS, Rajkot",OBG,AIIMS-All India,EWS
0,1157,Odisha,"AIIMS, Bhubaneswar",ENT,AIIMS-All India,OBC
0,1160,Rajasthan,"AIIMS, Jodhpur",ANAESTHESIOLOGY,AIIMS-All India,OBC
0,1164,Uttar Pradesh,"AIIMS, Gorakhpur",ORTHOPAEDICS,AIIMS-All India,OBC
0,1177,Delhi,"AIIMS, Delhi",PAEDIATRICS,AIIMS-All India,SC
0,1180,Maharashtra,"AIIMS, Nagpur",PSYCHIATRY,AIIMS-All India,OBC
0,1191,Maharashtra,"AIIMS, Nagpur",EMERGENCY MEDICINE,AIIMS-All India,OBC
0,1193,Andhra Pradesh,"AIIMS, Mangalagiri",ORTHOPAEDICS,AIIMS-Inst. Pref,UR-AIIMS-IP
0,1197,Uttar Pradesh,"AIIMS, Gorakhpur",PATHOLOGY,AIIMS-All India,UR
0,1200,Rajasthan,"AIIMS, Jodhpur",ANAESTHESIOLOGY,AIIMS-All India,EWS
0,1201,Pondicherry,"JIPMER, Puducherry",ANAESTHESIOLOGY,JIMPER-Inst. Pref,INST (JIPMER)
0,1202,Chandigarh,"PGIMER, Chandigarh",PAEDIATRICS,PGIMER-All India,ST
0,1204,Rajasthan,"AIIMS, Jodhpur",OPHTHALMOLOGY,AIIMS-All India,EWS
0,1208,Maharashtra,"AIIMS, Nagpur",EMERGENCY MEDICINE,AIIMS-All India,OBC
0,1210,Chhattisgarh,"AIIMS, Raipur",PATHOLOGY,AIIMS-All India,UR
0,1213,Andhra Pradesh,"AIIMS, Mangalagiri",PMR,AIIMS-All India,UR
0,1214,Pondicherry,"JIPMER, Puducherry",GENERAL MEDICINE,JIPMER-All India,SC
0,1215,Uttarakhand,"AIIMS, Rishikesh",ANAESTHESIOLOGY,AIIMS-All India,OBC
0,1217,Chandigarh,"PGIMER, Chandigarh",PATHOLOGY,PGIMER-All India,OBC
0,1218,Gujarat,"AIIMS, Rajkot",ORTHOPAEDICS,AIIMS-All India,OBC
0,1220,Odisha,"AIIMS, Bhubaneswar",EMERGENCY MEDICINE,AIIMS-All India,EWS
0,1226,Andhra Pradesh,"AIIMS, Mangalagiri",OBG,AIIMS-All India,EWS
0,1243,Rajasthan,"AIIMS, Jodhpur",ANAESTHESIOLOGY,AIIMS-All India,OBC
0,1244,Rajasthan,"AIIMS, Jodhpur",FORENSIC MEDICINE,AIIMS-All India,UR
0,1248,Rajasthan,"AIIMS, Jodhpur",NEUROSURGERY 6 YRS,AIIMS-Inst. Pref,UR-AIIMS-IP
0,1254,Rajasthan,"AIIMS, Jodhpur",ANAESTHESIOLOGY,AIIMS-All India,OBC
0,1258,Bihar,"AIIMS, Patna",ANAESTHESIOLOGY,AIIMS-All India,OBC
0,1263,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",PATHOLOGY,AIIMS-All India,UR
0,1266,Odisha,"AIIMS, Bhubaneswar",COMMUNITY MEDICINE,AIIMS-All India,UR
0,1269,Chhattisgarh,"AIIMS, Raipur",ANAESTHESIOLOGY,AIIMS-All India,OBC
0,1274,Andhra Pradesh,"AIIMS, Mangalagiri",ENT,AIIMS-All India,OBC
0,1279,Uttar Pradesh,"AIIMS, Gorakhpur",GENERAL SURGERY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,1284,Maharashtra,"AIIMS, Nagpur",ANAESTHESIOLOGY,AIIMS-All India,OBC
0,1287,Uttarakhand,"AIIMS, Rishikesh",FORENSIC MEDICINE,AIIMS-All India,UR
0,1289,Andhra Pradesh,"AIIMS, Mangalagiri",GENERAL SURGERY,AIIMS-All India,EWS
0,1301,Bihar,"AIIMS, Patna",ANAESTHESIOLOGY,AIIMS-All India,OBC
0,1307,Jharkhand,"AIIMS, Deoghar",GENERAL SURGERY,AIIMS-All India,OBC
0,1308,Gujarat,"AIIMS, Rajkot",PATHOLOGY,AIIMS-All India,UR
0,1314,Chandigarh,"PGIMER, Chandigarh",PHARMACOLOGY,PGIMER-All India,UR
0,1318,Pondicherry,"JIPMER, Puducherry",GENERAL MEDICINE,JIPMER-All India,SC
0,1320,Pondicherry,"JIPMER, Puducherry",GENERAL SURGERY,JIPMER-All India,SC
0,1322,Pondicherry,"JIPMER, Puducherry",PAEDIATRICS,JIPMER-All India,SC
0,1323,Assam,"AIIMS, Guwahati",OBG,AIIMS-All India,EWS
0,1335,Uttarakhand,"AIIMS, Rishikesh",ENT,AIIMS-All India,OBC
0,1337,Jammu and Kashmir,"AIIMS, Jammu",GENERAL SURGERY,AIIMS-All India,OBC
0,1339,Delhi,"AIIMS, Delhi",RADIO DIAGNOSIS,AIIMS-All India,UR-PwD
0,1343,Uttar Pradesh,"AIIMS, Gorakhpur",EMERGENCY MEDICINE,AIIMS-All India,OBC
0,1354,Madhya Pradesh,"AIIMS, Bhopal",ENT,AIIMS-Inst. Pref,UR-AIIMS-IP
0,1361,Madhya Pradesh,"AIIMS, Bhopal",ANAESTHESIOLOGY,AIIMS-All India,EWS
0,1363,Pondicherry,"JIPMER, Puducherry",RADIATION ONCOLOGY,JIMPER-Inst. Pref,INST (JIPMER)
0,1365,Maharashtra,"AIIMS, Nagpur",ANAESTHESIOLOGY,AIIMS-All India,OBC
0,1367,Chandigarh,"PGIMER, Chandigarh",PATHOLOGY,PGIMER-All India,OBC
0,1368,Maharashtra,"AIIMS, Nagpur",GENERAL SURGERY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,1370,Jammu and Kashmir,"AIIMS, Jammu",ORTHOPAEDICS,AIIMS-All India,OBC
0,1376,Madhya Pradesh,"AIIMS, Bhopal",MICROBIOLOGY,AIIMS-All India,UR
0,1378,Maharashtra,"AIIMS, Nagpur",PATHOLOGY,AIIMS-All India,UR
0,1382,Jharkhand,"AIIMS, Deoghar",ORTHOPAEDICS,AIIMS-All India,OBC
0,1396,Bihar,"AIIMS, Patna",RADIO DIAGNOSIS,AIIMS-All India,SC
0,1399,Karnataka,"NIMHANS, Bangalore",PSYCHIATRY,NIMHANS-KAR Domicile,OBC-Karnataka Domicile
0,1403,Bihar,"AIIMS, Patna",EMERGENCY MEDICINE,AIIMS-Inst. Pref,UR-AIIMS-IP
0,1413,Uttarakhand,"AIIMS, Rishikesh",MICROBIOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,1424,Chhattisgarh,"AIIMS, Raipur",ANAESTHESIOLOGY,AIIMS-All India,OBC
0,1427,Delhi,"AIIMS, Delhi",OBG,AIIMS-Inst. Pref,UR-AIIMS-IP
0,1431,Gujarat,"AIIMS, Rajkot",ANAESTHESIOLOGY,AIIMS-All India,OBC
0,1435,Pondicherry,"JIPMER, Puducherry",PMR,JIPMER-All India,OBC
0,1439,Chhattisgarh,"AIIMS, Raipur",ORTHOPAEDICS,AIIMS-Inst. Pref,UR-AIIMS-IP
0,1443,Pondicherry,"JIPMER, Puducherry",COMMUNITY MEDICINE,JIPMER-All India,SC
0,1452,Jammu and Kashmir,"AIIMS, Jammu",EMERGENCY MEDICINE,AIIMS-All India,OBC
0,1453,Bihar,"AIIMS, Patna",RADIATION ONCOLOGY,AIIMS-All India,OBC
0,1455,Bihar,"AIIMS, Patna",ENT,AIIMS-All India,OBC
0,1457,Maharashtra,"AIIMS, Nagpur",ENT,AIIMS-All India,OBC
0,1462,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",ENT,AIIMS-All India,OBC
