Institute,State,Inst. Type,Dept.,OPD,IPD,Beds,Bed Occ.,Histopath,Cytopath,Hematology,Clin. Path.,Biochem,C&S,Serology,X-Rays,USG,CT,MRI,Major OT,Minor OT,Emerg. OT
"Indian Institute of Medical Science & Research, Jalna",Maharashtra,Private,MD DERMATOLOGY,1869,136,30,24,0,0,2250,764,1778,84,303,102,24,1,0,0,0,0
"Indian Institute of Medical Science & Research, Jalna",Maharashtra,Private,MD EMERGENCY MEDICINE,2377,647,30,0,0,0,1441,1261,938,6,80,102,122,32,20,0,0,0
"Indian Institute of Medical Science & Research, Jalna",Maharashtra,Private,MD GENERAL MEDICINE,3520,617,150,121,0,8,16159,2336,5284,213,1523,1433,586,136,93,0,0,0
"Indian Institute of Medical Science & Research, Jalna",Maharashtra,Private,MD PAEDIATRICS,2992,314,90,69,0,0,5766,1944,3656,138,777,161,141,53,16,0,0,0
"Indian Institute of Medical Science & Research, Jalna",Maharashtra,Private,MD PSYCHIATRY,1708,97,30,24,0,0,2768,722,1354,5,129,238,64,49,17,0,0,0
"Indian Institute of Medical Science & Research, Jalna",Maharashtra,Private,MD PULMONARY MEDICINE,1070,70,20,15,0,2,3366,524,1342,52,606,131,0,23,0,0,0,0
"Indian Institute of Medical Science & Research, Jalna",Maharashtra,Private,MS ENT,2029,108,27,22,11,56,2666,1492,2126,58,256,152,26,13,16,91,217,12
"Indian Institute of Medical Science & Research, Jalna",Maharashtra,Private,MS GENERAL SURGERY,4190,499,150,120,121,129,15996,1690,3761,160,1421,1091,712,109,56,249,482,49
"Indian Institute of Medical Science & Research, Jalna",Maharashtra,Private,MS OBG,5039,633,120,103,117,190,16204,2255,6208,226,2187,200,1045,5,3,204,154,29
"Indian Institute of Medical Science & Research, Jalna",Maharashtra,Private,MS OPHTHALMOLOGY,2633,93,30,19,0,4,5604,1580,2449,117,493,34,4,2,1,77,187,16
"Indian Institute of Medical Science & Research, Jalna",Maharashtra,Private,MS ORTHOPAEDICS,3259,324,90,78,17,49,10148,2001,3678,101,1552,968,1,119,127,155,231,40
"Indira Gandhi Institute of Medical Sciences, Sheikhpura, Patna",Bihar,Govt,DM CARDIOLOGY,5745,507,53,53,0,0,0,0,0,0,0,0,0,0,0,326,4,7
"Indira Gandhi Institute of Medical Sciences, Sheikhpura, Patna",Bihar,Govt,DM MEDICAL GASTROENTEROLOGY,2973,172,30,30,0,98,0,0,0,0,0,0,0,0,0,0,0,0
"Indira Gandhi Institute of Medical Sciences, Sheikhpura, Patna",Bihar,Govt,DM NEUROLOGY,5539,188,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Indira Gandhi Institute of Medical Sciences, Sheikhpura, Patna",Bihar,Govt,MBBS OVERALL,46990,3549,1167,90,904,1054,97440,2628,251787,3331,18021,10060,3833,2102,1096,0,0,0
"Indira Gandhi Institute of Medical Sciences, Sheikhpura, Patna",Bihar,Govt,MCH REPRODUCTIVE MEDICINE & SURGERY,617,18,18,44,0,0,0,0,0,0,0,0,112,0,0,22,162,0
"Indira Gandhi Institute of Medical Sciences, Sheikhpura, Patna",Bihar,Govt,MCh NEURO SURGERY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,24
"Indira Gandhi Institute of Medical Sciences, Sheikhpura, Patna",Bihar,Govt,MCh PAEDIATRIC SURGERY,884,151,30,770,50,48,3367,161,2027,42,88,311,365,39,27,17,3,26
"Indira Gandhi Institute of Medical Sciences, Sheikhpura, Patna",Bihar,Govt,MD ANAESTHESIOLOGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,853,164,236
"Indira Gandhi Institute of Medical Sciences, Sheikhpura, Patna",Bihar,Govt,MD BIOCHEMISTRY,0,0,0,0,130,0,178414,0,251787,0,0,10060,3833,2102,1096,0,0,0
"Indira Gandhi Institute of Medical Sciences, Sheikhpura, Patna",Bihar,Govt,MD COMMUNITY MEDICINE,15875,360,6,6,0,0,0,500,0,0,0,65,0,0,0,0,0,0
"Indira Gandhi Institute of Medical Sciences, Sheikhpura, Patna",Bihar,Govt,MD DERMATOLOGY,1709,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0
"Indira Gandhi Institute of Medical Sciences, Sheikhpura, Patna",Bihar,Govt,MD EMERGENCY MEDICINE,192,1870,90,88,306,334,2709,260,2690,243,2589,1714,303,171,140,0,0,0
"Indira Gandhi Institute of Medical Sciences, Sheikhpura, Patna",Bihar,Govt,MD GENERAL MEDICINE,10250,443,120,118,49,102,3103,138,31721,1298,1394,736,601,373,142,0,0,0
"Indira Gandhi Institute of Medical Sciences, Sheikhpura, Patna",Bihar,Govt,MD MICROBIOLOGY,0,0,0,0,0,0,0,0,251787,0,0,0,0,0,0,0,0,0
"Indira Gandhi Institute of Medical Sciences, Sheikhpura, Patna",Bihar,Govt,MD PAEDIATRICS,2680,248,76,87,42,40,3378,102,5406,340,132,120,211,51,72,0,0,0
"Indira Gandhi Institute of Medical Sciences, Sheikhpura, Patna",Bihar,Govt,MD PATHOLOGY,0,0,0,0,889,1054,97690,2628,0,0,0,0,0,0,0,0,0,0
"Indira Gandhi Institute of Medical Sciences, Sheikhpura, Patna",Bihar,Govt,MD PHYSICAL MEDICINE & REHABILITATION,1250,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,37,0
"Indira Gandhi Institute of Medical Sciences, Sheikhpura, Patna",Bihar,Govt,MD PSYCHIATRY,1319,7,28,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Indira Gandhi Institute of Medical Sciences, Sheikhpura, Patna",Bihar,Govt,MD PULMONARY MEDICINE,3744,156,39,689,52,48,2903,161,2088,41,70,387,367,39,18,39,80,7
"Indira Gandhi Institute of Medical Sciences, Sheikhpura, Patna",Bihar,Govt,MD RADIODIAGNOSIS,0,0,0,0,0,0,0,0,0,0,0,10060,3833,2052,1096,0,0,0
"Indira Gandhi Institute of Medical Sciences, Sheikhpura, Patna",Bihar,Govt,MS ENT,5543,165,50,48,233,125,746,490,1597,49,2205,217,208,152,43,132,18,2
"Indira Gandhi Institute of Medical Sciences, Sheikhpura, Patna",Bihar,Govt,MS GENERAL SURGERY,2641,204,120,1483,300,339,3044,3201,4832,299,2477,1568,1359,322,60,111,400,30
"Indira Gandhi Institute of Medical Sciences, Sheikhpura, Patna",Bihar,Govt,MS OBG,2477,104,50,68,0,0,0,0,0,0,0,0,0,0,0,36,90,15
"Indira Gandhi Institute of Medical Sciences, Sheikhpura, Patna",Bihar,Govt,MS OPHTHALMOLOGY,7010,230,44,38,0,0,0,0,493,90,0,70,285,24,4,170,176,64
"Indira Gandhi Institute of Medical Sciences, Sheikhpura, Patna",Bihar,Govt,MS ORTHOPAEDICS,2105,107,66,88,54,85,2589,121,5525,275,148,1068,161,152,96,65,5,37
"Indira Gandhi Medical College & Hospital, Nagpur",Maharashtra,Govt,MBBS OVERALL,35251,2909,850,12944,1908,292,6059,3852,62165,2198,3130,6109,3064,960,103,0,0,0
"Indira Gandhi Medical College & Hospital, Nagpur",Maharashtra,Govt,MD DERMATOLOGY,4818,58,30,25,134,15,242,77,1638,0,0,61,16,0,0,0,0,0
"Indira Gandhi Medical College & Hospital, Nagpur",Maharashtra,Govt,MD GENERAL MEDICINE,6879,590,180,148,76,28,1053,558,11157,559,1322,885,399,191,17,0,0,0
"Indira Gandhi Medical College & Hospital, Nagpur",Maharashtra,Govt,MD PAEDIATRICS,3869,451,110,94,38,6,491,722,8392,222,528,641,435,115,10,0,0,0
"Indira Gandhi Medical College & Hospital, Nagpur",Maharashtra,Govt,MD PSYCHIATRY,1286,73,30,27,0,0,71,38,932,0,0,92,0,48,4,0,0,0
"Indira Gandhi Medical College & Hospital, Nagpur",Maharashtra,Govt,MS ENT,2198,116,45,41,172,35,312,636,2953,75,0,580,88,96,11,40,62,2
"Indira Gandhi Medical College & Hospital, Nagpur",Maharashtra,Govt,MS GENERAL SURGERY,6288,553,180,149,858,127,1046,654,11434,260,422,991,696,221,25,135,8,88
"Indira Gandhi Medical College & Hospital, Nagpur",Maharashtra,Govt,MS OBG,2630,506,120,120,43,76,5735,664,12528,327,479,845,1022,10,1,281,35,88
"Indira Gandhi Medical College & Hospital, Nagpur",Maharashtra,Govt,MS OPHTHALMOLOGY,1904,131,45,41,76,12,326,212,6275,265,0,393,82,62,5,231,18,1
"Indira Gandhi Medical College & Hospital, Nagpur",Maharashtra,Govt,MS ORTHOPAEDICS,3609,349,110,97,172,17,644,289,7075,275,424,1588,295,154,26,119,236,58
"Indira Gandhi Medical College & Research Institute, Puducherry",Pondicherry,Govt,DENTISTRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,334,0
"Indira Gandhi Medical College & Research Institute, Puducherry",Pondicherry,Govt,MBBS OVERALL,45887,2368,18801,78,340,196,49444,49444,36794,1737,1681,3652,1000,595,169,0,0,0
"Indira Gandhi Medical College & Research Institute, Puducherry",Pondicherry,Govt,MCh UROLOGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0
"Indira Gandhi Medical College & Research Institute, Puducherry",Pondicherry,Govt,MD ANAESTHESIOLOGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509,1708,121
"Indira Gandhi Medical College & Research Institute, Puducherry",Pondicherry,Govt,MD DERMATOLOGY,3378,21,485,71,27,6,4391,4391,3268,17,58,0,30,0,0,0,119,0
"Indira Gandhi Medical College & Research Institute, Puducherry",Pondicherry,Govt,MD GENERAL MEDICINE,6850,262,5335,70,7,21,10958,10958,8155,695,353,584,190,238,68,0,0,0
"Indira Gandhi Medical College & Research Institute, Puducherry",Pondicherry,Govt,MD PAEDIATRICS,1709,445,2425,86,7,7,2855,2855,2120,122,185,58,10,2,0,0,0,0
"Indira Gandhi Medical College & Research Institute, Puducherry",Pondicherry,Govt,MD PHYSICAL MEDICINE & REHABILITATION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
"Indira Gandhi Medical College & Research Institute, Puducherry",Pondicherry,Govt,MD PSYCHIATRY,1290,28,485,66,0,0,1541,1541,1173,17,0,0,0,30,1,1,0,0
"Indira Gandhi Medical College & Research Institute, Puducherry",Pondicherry,Govt,MS ENT,2254,63,485,70,38,10,3309,3309,2463,139,10,402,90,30,10,32,158,1
"Indira Gandhi Medical College & Research Institute, Puducherry",Pondicherry,Govt,MS GENERAL SURGERY,4010,240,3638,72,112,67,5423,5423,3725,260,370,438,470,119,12,140,454,29
"Indira Gandhi Medical College & Research Institute, Puducherry",Pondicherry,Govt,MS OBG,3565,386,2450,97,149,84,4267,4267,3299,313,370,183,190,60,12,138,96,60
"Indira Gandhi Medical College & Research Institute, Puducherry",Pondicherry,Govt,MS OPHTHALMOLOGY,2204,51,485,72,0,0,3532,3532,2628,3,10,1,60,6,1,47,99,0
"Indira Gandhi Medical College & Research Institute, Puducherry",Pondicherry,Govt,MS ORTHOPAEDICS,5542,226,2275,96,7,4,9303,9303,6923,70,403,1753,30,89,68,84,448,15
"Indira Gandhi Medical College, Shimla",Himachal Pradesh,Govt,MBBS OVERALL,122686,64004,1147,99,1233,910,1049,6888,52796,3062,172,23130,5199,2011,570,0,0,0
"Indira Gandhi Medical College, Shimla",Himachal Pradesh,Govt,MD ANAESTHESIOLOGY,47,42,46,88,0,0,0,0,0,0,0,0,0,0,0,1491,3197,583
"Indira Gandhi Medical College, Shimla",Himachal Pradesh,Govt,MD BIOCHEMISTRY,0,0,0,0,0,0,0,0,52796,0,0,0,0,0,0,0,0,0
"Indira Gandhi Medical College, Shimla",Himachal Pradesh,Govt,MD COMMUNITY MEDICINE,2819,11,6,1,0,0,86,0,23,0,27,219,0,0,0,0,0,0
"Indira Gandhi Medical College, Shimla",Himachal Pradesh,Govt,MD DERMATOLOGY,5219,24,30,76,78,524,0,0,0,0,69,0,0,0,0,0,0,0
"Indira Gandhi Medical College, Shimla",Himachal Pradesh,Govt,MD GENERAL MEDICINE,18241,802,175,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Indira Gandhi Medical College, Shimla",Himachal Pradesh,Govt,MD MICROBIOLOGY,0,0,0,0,0,0,0,0,0,3062,172,0,0,0,0,0,0,0
"Indira Gandhi Medical College, Shimla",Himachal Pradesh,Govt,MD PAEDIATRICS,3592,492,120,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Indira Gandhi Medical College, Shimla",Himachal Pradesh,Govt,MD PATHOLOGY,0,0,0,0,1233,910,1049,6888,0,0,0,0,0,0,0,0,0,0
"Indira Gandhi Medical College, Shimla",Himachal Pradesh,Govt,MD PSYCHIATRY,2075,52,30,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Indira Gandhi Medical College, Shimla",Himachal Pradesh,Govt,MD PULMONARY MEDICINE,1572,207,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Indira Gandhi Medical College, Shimla",Himachal Pradesh,Govt,MD RADIODIAGNOSIS,0,0,0,0,0,0,0,0,0,0,0,23130,5199,2011,570,0,0,0
"Indira Gandhi Medical College, Shimla",Himachal Pradesh,Govt,MD RADIOTHERAPY,3132,132,43,42,0,0,0,0,0,0,0,0,0,0,0,51,0,0
"Indira Gandhi Medical College, Shimla",Himachal Pradesh,Govt,MS ENT,4154,97,48,97,0,0,0,0,0,0,0,0,0,0,0,86,538,4
"Indira Gandhi Medical College, Shimla",Himachal Pradesh,Govt,MS GENERAL SURGERY,10218,613,146,95,0,0,0,0,0,0,0,0,0,0,0,385,474,113
"Indira Gandhi Medical College, Shimla",Himachal Pradesh,Govt,MS OBG,3996,1380,274,98,0,0,0,0,0,0,0,0,84,0,0,266,872,353
"Indira Gandhi Medical College, Shimla",Himachal Pradesh,Govt,MS OPHTHALMOLOGY,5120,297,46,96,0,0,0,0,0,0,0,0,0,0,0,294,266,11
"Indira Gandhi Medical College, Shimla",Himachal Pradesh,Govt,MS ORTHOPAEDICS,7097,273,84,97,0,0,0,0,0,0,0,0,0,0,0,194,1802,458
"Indira Medical College & Hospitals, Thiruvallur",Tamil Nadu,Private,MBBS OVERALL,30860,2727,490,408,351,386,9746,9032,9118,1236,4786,1818,2240,488,0,616,1011,97
"Indira Medical College & Hospitals, Thiruvallur",Tamil Nadu,Private,MD DERMATOLOGY,926,82,12,10,4,4,342,271,494,90,349,36,20,5,0,0,0,0
"Indira Medical College & Hospitals, Thiruvallur",Tamil Nadu,Private,MD GENERAL MEDICINE,8332,736,130,108,0,120,2924,2438,2098,150,572,400,445,98,0,0,0,0
"Indira Medical College & Hospitals, Thiruvallur",Tamil Nadu,Private,MD PAEDIATRICS,4012,354,60,50,0,31,1072,994,966,95,369,145,235,58,0,0,0,0
"Indira Medical College & Hospitals, Thiruvallur",Tamil Nadu,Private,MD PSYCHIATRY,615,54,12,10,0,4,390,271,547,28,96,18,22,10,0,0,0,0
"Indira Medical College & Hospitals, Thiruvallur",Tamil Nadu,Private,MS ENT,1301,109,15,12,7,16,390,452,547,79,324,182,45,34,0,63,114,6
"Indira Medical College & Hospitals, Thiruvallur",Tamil Nadu,Private,MS GENERAL SURGERY,7715,682,117,97,211,135,1949,1723,1377,278,1067,445,560,146,0,233,356,24
"Indira Medical College & Hospitals, Thiruvallur",Tamil Nadu,Private,MS OBG,1543,137,70,58,109,70,1657,1628,1514,204,873,91,672,24,0,134,192,39
"Indira Medical College & Hospitals, Thiruvallur",Tamil Nadu,Private,MS OPHTHALMOLOGY,1234,109,15,13,4,0,195,271,602,148,574,36,25,15,0,61,121,4
"Indira Medical College & Hospitals, Thiruvallur",Tamil Nadu,Private,MS ORTHOPAEDICS,5246,439,60,50,18,8,877,994,958,167,646,464,213,98,0,125,227,25
"Institute of Medical Sciences & SUM Hospital, Bhubaneswar",Orissa,Deemed,MBBS OVERALL,130368,7415,1500,1220,1400,1147,97244,7079,106491,5218,11161,16044,8734,3408,1011,0,0,0
"Institute of Medical Sciences & SUM Hospital, Bhubaneswar",Orissa,Deemed,MCH SURGICAL GASTROENTEROLOGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,80,2
"Institute of Medical Sciences & SUM Hospital, Bhubaneswar",Orissa,Deemed,MCh NEURO SURGERY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,80,2
"Institute of Medical Sciences & SUM Hospital, Bhubaneswar",Orissa,Deemed,MCh PLASTIC SURGERY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,77,2
"Institute of Medical Sciences & SUM Hospital, Bhubaneswar",Orissa,Deemed,MCh SURGICAL ONCOLOGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,78,1
"Institute of Medical Sciences & SUM Hospital, Bhubaneswar",Orissa,Deemed,MCh UROLOGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,83,2
"Institute of Medical Sciences & SUM Hospital, Bhubaneswar",Orissa,Deemed,MD DERMATOLOGY,10012,288,60,49,60,61,1780,140,1589,83,192,193,105,41,12,0,0,0
"Institute of Medical Sciences & SUM Hospital, Bhubaneswar",Orissa,Deemed,MD GENERAL MEDICINE,18337,972,240,195,38,40,23816,1889,27298,984,2271,4156,2262,883,262,0,0,0
"Institute of Medical Sciences & SUM Hospital, Bhubaneswar",Orissa,Deemed,MD PAEDIATRICS,7292,508,120,97,28,28,11866,938,11586,589,1363,2054,1118,436,130,0,0,0
"Institute of Medical Sciences & SUM Hospital, Bhubaneswar",Orissa,Deemed,MD PSYCHIATRY,3378,282,60,49,1,2,847,67,794,45,104,244,87,39,10,0,0,0
"Institute of Medical Sciences & SUM Hospital, Bhubaneswar",Orissa,Deemed,MS ENT,5649,328,60,48,102,96,3390,268,3174,160,371,337,183,71,21,199,99,2
"Institute of Medical Sciences & SUM Hospital, Bhubaneswar",Orissa,Deemed,MS GENERAL SURGERY,10532,954,240,196,336,322,16442,1299,14256,722,1653,2358,1284,501,149,480,252,23
"Institute of Medical Sciences & SUM Hospital, Bhubaneswar",Orissa,Deemed,MS OBG,9847,804,150,122,280,205,12035,951,8729,445,1026,2388,1301,508,151,296,258,10
"Institute of Medical Sciences & SUM Hospital, Bhubaneswar",Orissa,Deemed,MS OPHTHALMOLOGY,5498,393,60,49,6,3,684,54,1507,74,171,160,87,34,10,205,105,1
"Institute of Medical Sciences & SUM Hospital, Bhubaneswar",Orissa,Deemed,MS ORTHOPAEDICS,7507,569,150,122,125,116,10594,837,7539,412,950,1816,1022,399,143,298,186,10
"Institute of Medical Sciences, BHU, Varanasi",Uttar Pradesh,Govt,MBBS OVERALL,142811,6241,2424,1721,954,472,25796,8822,258804,3894,926,24671,7866,4749,2665,1798,2456,536
"Institute of Medical Sciences, BHU, Varanasi",Uttar Pradesh,Govt,MD DERMATOLOGY,7999,13,40,4,24,56,335,0,247,37,823,139,45,1,0,0,0,0
"Institute of Medical Sciences, BHU, Varanasi",Uttar Pradesh,Govt,MD PAEDIATRICS,4442,445,123,105,48,189,434,3777,866,251,303,336,341,51,45,0,0,0
"Institute of Medical Sciences, BHU, Varanasi",Uttar Pradesh,Govt,MD PSYCHIATRY,3694,795,74,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Institute of Medical Sciences, BHU, Varanasi",Uttar Pradesh,Govt,MS ENT,7610,297,40,40,33,64,182,0,0,0,0,0,0,0,0,47,337,8
"Institute of Medical Sciences, BHU, Varanasi",Uttar Pradesh,Govt,MS GENERAL SURGERY,5908,367,124,81,0,0,0,0,0,0,0,0,0,0,0,316,214,85
"Institute of Medical Sciences, BHU, Varanasi",Uttar Pradesh,Govt,MS OBG,5630,556,120,18,0,0,0,0,0,0,0,0,0,0,0,302,116,241
"Institute of Medical Sciences, BHU, Varanasi",Uttar Pradesh,Govt,MS OPHTHALMOLOGY,5522,336,100,87,63,29,488,54,459,51,471,53,57,23,19,325,232,19
"Institute of Medical Sciences, BHU, Varanasi",Uttar Pradesh,Govt,MS ORTHOPAEDICS,10990,261,88,88,0,0,0,0,0,0,0,0,0,0,0,419,190,239
"Institute of Postgraduate Medical Education & Research (IPGMER), Kolkata",West Bengal,Govt,MBBS OVERALL,324652,12707,3713,3639,1966,795,237793,4402,251056,5753,10945,25646,12869,6908,5974,0,0,0
"Institute of Postgraduate Medical Education & Research (IPGMER), Kolkata",West Bengal,Govt,MD DERMATOLOGY,11957,2,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Institute of Postgraduate Medical Education & Research (IPGMER), Kolkata",West Bengal,Govt,MD GENERAL MEDICINE,20104,684,210,210,74,257,18940,298,18599,1403,2052,2356,3348,679,248,0,0,0
"Institute of Postgraduate Medical Education & Research (IPGMER), Kolkata",West Bengal,Govt,MD PAEDIATRICS,4594,544,120,120,4,4,467,292,341,42,10,67,112,6,55,0,0,0
"Institute of Postgraduate Medical Education & Research (IPGMER), Kolkata",West Bengal,Govt,MD PSYCHIATRY,16282,81,110,92,0,0,582,0,1764,0,0,0,0,28,20,0,0,0
"Institute of Postgraduate Medical Education & Research (IPGMER), Kolkata",West Bengal,Govt,MS ENT,13349,352,108,104,231,71,528,18,428,30,428,542,100,57,19,292,108,20
"Institute of Postgraduate Medical Education & Research (IPGMER), Kolkata",West Bengal,Govt,MS GENERAL SURGERY,11545,573,210,210,283,139,6049,22,1503,50,530,616,725,340,155,297,365,153
"Institute of Postgraduate Medical Education & Research (IPGMER), Kolkata",West Bengal,Govt,MS OBG,13802,1002,163,163,228,272,1343,234,3405,582,500,289,1423,27,11,312,166,142
"Institute of Postgraduate Medical Education & Research (IPGMER), Kolkata",West Bengal,Govt,MS OPHTHALMOLOGY,6960,160,60,53,2,3,82,14,89,6,84,86,16,18,21,306,56,51
"Institute of Postgraduate Medical Education & Research (IPGMER), Kolkata",West Bengal,Govt,MS ORTHOPAEDICS,20502,517,174,174,43,4,1174,0,1111,53,548,17158,31,162,40,198,51,202
"Integral Institute of Medical Sciences & Research, Lucknow",Uttar Pradesh,Private,MBBS OVERALL,29934,2680,718,576,358,309,21430,3178,25941,992,1920,3021,1664,254,120,0,0,0
"Integral Institute of Medical Sciences & Research, Lucknow",Uttar Pradesh,Private,MD ANAESTHESIOLOGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,1675,194
"Integral Institute of Medical Sciences & Research, Lucknow",Uttar Pradesh,Private,MD DERMATOLOGY,2233,67,32,24,12,1,123,18,267,5,4,9,5,0,0,0,0,0
"Integral Institute of Medical Sciences & Research, Lucknow",Uttar Pradesh,Private,MD GENERAL MEDICINE,5570,444,150,118,1,133,4885,883,6833,284,604,680,519,58,26,0,0,0
"Integral Institute of Medical Sciences & Research, Lucknow",Uttar Pradesh,Private,MD PAEDIATRICS,2291,307,90,73,0,1,3050,614,2958,81,531,93,51,8,6,0,0,0
"Integral Institute of Medical Sciences & Research, Lucknow",Uttar Pradesh,Private,MD PSYCHIATRY,1412,72,30,24,0,0,126,15,315,2,5,13,11,44,5,0,0,0
"Integral Institute of Medical Sciences & Research, Lucknow",Uttar Pradesh,Private,MS ENT,2605,140,30,25,7,12,1622,11,706,19,2,148,17,21,1,64,297,21
"Integral Institute of Medical Sciences & Research, Lucknow",Uttar Pradesh,Private,MS GENERAL SURGERY,3151,446,175,117,232,77,4317,700,5252,54,73,380,455,35,24,223,459,92
"Integral Institute of Medical Sciences & Research, Lucknow",Uttar Pradesh,Private,MS OBG,2703,384,90,79,102,57,3158,645,3903,203,245,52,378,2,3,120,232,32
"Integral Institute of Medical Sciences & Research, Lucknow",Uttar Pradesh,Private,MS OPHTHALMOLOGY,2909,197,30,24,3,9,74,4,771,5,4,10,38,3,2,109,440,7
"Integral Institute of Medical Sciences & Research, Lucknow",Uttar Pradesh,Private,MS ORTHOPAEDICS,2978,230,90,71,2,2,1883,123,2874,140,336,848,20,7,39,84,248,42
"JIS School of Medical Science & Research, Howrah",West Bengal,Private,DENTISTRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0
"JIS School of Medical Science & Research, Howrah",West Bengal,Private,MBBS OVERALL,33757,15764,605,525,110,689,7730,1785,46154,353,1960,3160,1222,895,0,0,0,0
"JIS School of Medical Science & Research, Howrah",West Bengal,Private,MD ANAESTHESIOLOGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543,911,35
"JIS School of Medical Science & Research, Howrah",West Bengal,Private,MD DERMATOLOGY,591,245,10,8,2,12,135,30,806,6,33,8,5,6,0,0,2,0
"JIS School of Medical Science & Research, Howrah",West Bengal,Private,MD EMERGENCY MEDICINE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17,35
"JIS School of Medical Science & Research, Howrah",West Bengal,Private,MD GENERAL MEDICINE,8801,3935,150,131,3,179,2029,454,12084,90,516,637,239,312,0,0,0,0
"JIS School of Medical Science & Research, Howrah",West Bengal,Private,MD PAEDIATRICS,4408,1954,75,65,2,89,1013,252,5124,44,261,308,4,33,0,0,0,0
"JIS School of Medical Science & Research, Howrah",West Bengal,Private,MD PSYCHIATRY,872,391,15,13,0,18,220,46,1205,9,50,30,5,20,0,0,0,0
"JIS School of Medical Science & Research, Howrah",West Bengal,Private,MS ENT,1181,521,20,17,3,25,271,62,1616,13,74,93,6,25,0,24,60,3
"JIS School of Medical Science & Research, Howrah",West Bengal,Private,MS GENERAL SURGERY,8788,3924,150,131,45,184,2032,458,12998,95,503,649,411,268,0,131,260,16
"JIS School of Medical Science & Research, Howrah",West Bengal,Private,MS OBG,4416,1954,75,65,42,93,1017,235,6050,49,248,274,518,115,0,230,189,6
"JIS School of Medical Science & Research, Howrah",West Bengal,Private,MS OPHTHALMOLOGY,1181,494,20,16,1,23,270,60,1608,11,62,14,7,24,0,118,82,3
"JIS School of Medical Science & Research, Howrah",West Bengal,Private,MS ORTHOPAEDICS,3516,1564,60,52,12,74,812,183,4836,36,203,1148,24,91,0,65,92,6
"JJM Medical College, Davangere",Karnataka,Private,MBBS OVERALL,108050,9439,1930,1505,855,199,331317,102526,295506,2118,3838,13929,6123,1870,560,1761,3000,556
"JJM Medical College, Davangere",Karnataka,Private,MD ANAESTHESIOLOGY,108050,9439,1930,1607,855,199,331317,102526,295506,2118,3838,13929,6123,1870,560,0,0,0
"JJM Medical College, Davangere",Karnataka,Private,MD BIOCHEMISTRY,108050,9439,1930,1607,855,199,331317,152526,295506,2118,3838,13929,6123,1870,560,0,0,0
"JJM Medical College, Davangere",Karnataka,Private,MD COMMUNITY MEDICINE,108050,9439,1930,1607,855,199,331317,152526,295506,2118,3838,13929,6123,1870,560,0,0,0
"JJM Medical College, Davangere",Karnataka,Private,MD DERMATOLOGY,10310,190,120,94,406,1,4687,229,9780,178,266,85,144,10,8,0,0,0
"JJM Medical College, Davangere",Karnataka,Private,MD EMERGENCY MEDICINE,3314,603,40,33,0,0,19402,14167,4315,223,184,112,247,60,52,0,0,0
"JJM Medical College, Davangere",Karnataka,Private,MD FORENSIC MEDICINE,108050,9439,1930,1607,855,199,331317,152526,295506,2118,3838,13929,6123,1870,560,0,0,0
"JJM Medical College, Davangere",Karnataka,Private,MD GENERAL MEDICINE,38873,2462,320,304,8,14,179985,28022,82742,340,618,4153,1398,616,118,0,0,0
"JJM Medical College, Davangere",Karnataka,Private,MD MICROBIOLOGY,108050,9439,1930,1607,855,199,331317,152526,295506,2118,3838,13929,6123,1870,560,0,0,0
"JJM Medical College, Davangere",Karnataka,Private,MD PAEDIATRICS,10432,1582,240,215,0,1,38412,21736,41855,293,167,2247,383,165,66,0,0,0
"JJM Medical College, Davangere",Karnataka,Private,MD PATHOLOGY,108050,9439,1930,1607,855,199,331317,152526,295506,2118,3838,13929,6123,1870,560,0,0,0
"JJM Medical College, Davangere",Karnataka,Private,MD PHARMACOLOGY,108050,9439,1930,1607,832,199,331317,152526,295506,2118,3838,13929,6123,1870,560,0,0,0
