Round,AI Rank,State,Institute,Course,Quota,Category
0,6398,Madhya Pradesh,"AIIMS, Bhopal",BIOCHEMISTRY,AIIMS-All India,OBC
0,6425,Andhra Pradesh,"AIIMS, Mangalagiri",PAEDIATRICS,AIIMS-All India,ST
0,6431,Punjab,"AIIMS, Bathinda",ANAESTHESIOLOGY,AIIMS-All India,SC
0,6436,Uttar Pradesh,"AIIMS, Gorakhpur",GENERAL MEDICINE,AIIMS-All India,ST
0,6445,Madhya Pradesh,"AIIMS, Bhopal",PHYSIOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,6496,Bihar,"AIIMS, Patna",PHYSIOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,6498,Bihar,"AIIMS, Patna",PAEDIATRICS,AIIMS-All India,ST
0,6499,Uttarakhand,"AIIMS, Rishikesh",ANAESTHESIOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,6506,Jharkhand,"AIIMS, Deoghar",ANAESTHESIOLOGY,AIIMS-All India,SC
0,6515,Gujarat,"AIIMS, Rajkot",ANATOMY,AIIMS-All India,OBC
0,6560,Pondicherry,"JIPMER, Puducherry",PHYSIOLOGY,JIMPER-Inst. Pref,INST (JIPMER)
0,6571,Pondicherry,"JIPMER, Puducherry",IHBT,JIPMER-All India,SC
0,6588,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",PAEDIATRICS,AIIMS-All India,ST
0,6700,Assam,"AIIMS, Guwahati",ANAESTHESIOLOGY,AIIMS-All India,SC
0,6808,Pondicherry,"JIPMER, Puducherry",OBG,JIPMER-All India,ST
0,6812,Punjab,"AIIMS, Bathinda",OBG,AIIMS-Inst. Pref,UR-AIIMS-IP
0,6830,West Bengal,"AIIMS, Kalyani",FORENSIC MEDICINE,AIIMS-All India,EWS
0,6849,Telangana,"AIIMS, Bibinagar",MICROBIOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,6890,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",PAEDIATRIC SURGERY 6 YRS,AIIMS-Inst. Pref,UR-AIIMS-IP
0,6934,Chandigarh,"PGIMER, Chandigarh",PATHOLOGY,PGIMER-All India,SC
0,6962,Chhattisgarh,"AIIMS, Raipur",ENT,AIIMS-All India,SC
0,7004,Rajasthan,"AIIMS, Jodhpur",PSYCHIATRY,AIIMS-All India,SC
0,7035,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",ANAESTHESIOLOGY,AIIMS-All India,SC
0,7143,Chandigarh,"PGIMER, Chandigarh",IHBT,PGIMER-All India,SC
0,7184,Assam,"AIIMS, Guwahati",PHYSIOLOGY,AIIMS-All India,OBC
0,7196,Maharashtra,"AIIMS, Nagpur",MICROBIOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,7227,Maharashtra,"AIIMS, Nagpur",PHYSIOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,7230,Uttarakhand,"AIIMS, Rishikesh",ANATOMY,AIIMS-All India,OBC
0,7291,Bihar,"AIIMS, Patna",ENT,AIIMS-All India,SC
0,7320,Delhi,"AIIMS, Delhi",LAB MEDICINE,AIIMS-All India,SC
0,7326,Chandigarh,"PGIMER, Chandigarh",OPHTHALMOLOGY,PGIMER-All India,ST
0,7366,Delhi,"AIIMS, Delhi",PHYSIOLOGY,AIIMS-All India,EWS
0,7397,Uttar Pradesh,"AIIMS, Rai Bareli",BIOCHEMISTRY,AIIMS-All India,OBC
0,7407,Delhi,"AIIMS, Delhi",BIOPHYSICS,AIIMS-Inst. Pref,UR-AIIMS-IP
