Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2025 1,CR 2025 2,CR 2025 3,CR 2025 4
NBE Diploma,GEN,Uttar Pradesh,"Max Super Spec Hospital, Noida",DCH(NBEMS),125000,60000,0,0,504,26348(3),,,,,,,,,,,,,
DU,SC,Delhi,"UCMS, Delhi",OBG,"47,220","132,336",1,2000000,1000,26351(1),,,,,,,,,,,,,
NBE Diploma,OBC,Karnataka,"SriJayachamarjndraGenHos,Hassan",DCH(NBEMS),125000,"56,250",1,2000000,Info Not Available,26354(1),,,,,,,,,,,,,
AIQ,ST,Rajasthan,"SMS, Jaipur",RADIATION ONCOLOGY,"14,093","87,216",2,5000000,5702,26366(1),,,,,,,,,,,,,
NBE Diploma,GEN,Andhra Pradesh,"Dr Ramesh Cardiac Hosp, Guntur",DCH(NBEMS),125000,60823,0,0,350,26369(2),,,,,,,,,,,,,
DNB Post MBBS,GEN,Bihar,"Rahmania Med Cent, Bariyaarpur",DNBEMERGENCY MEDICINE,125000,"60,000",0,0,150,26372(2),,,,,,,,,,,,,
DNB Post MBBS,GEN,Maharashtra,"Sahyadri SS Hosp, Yerawada, Pune",DNBANAESTHESIOLOGY,125000,89000,0,0,301,26376(1),,,,,,,,,,,,,
DNB Post MBBS,GEN,West Bengal,"Kalyani Inst of Med Sci,Burdwan",DNBORTHOPAEDICS,125000,"50,000",0,0,224,26377(3),,,,,,,,,,,,,
AIQ,GEN,Rajasthan,"JLNMC, Ajmer",PATHOLOGY,"14,093","87,216",2,5000000,1428,26380(3),,,,,,,,,,,,,
DNB Post MBBS,GEN,Haryana,"Positron Hospital,Rohtak",DNBORTHOPAEDICS,125000,75000,0,0,150,26391(3),,,,,,,,,,,,,
NBE Diploma,GEN,Tamil Nadu,"WomensCent-Mother,Coimbatore",DCH(NBEMS),125000,45000,0,0,100,26400(4),,,,,,,,,,,,,
NBE Diploma,GEN,Bihar,"Bhagwan Mahavir,Nalanda",DCH(NBEMS),125000,82000,2,"2,500,000",500,26402(4),,,,,,,,,,,,,
DNB Post MBBS,GEN,Karnataka,"Gleneagles BGS Hospital, Kengeri",DNBORTHOPAEDICS,125000,56250,0,0,450,26403(2),,,,,,,,,,,,,
NBE Diploma,EWS,Delhi,"ESIC Hospital, Okhla",DCH(NBEMS),125000,130653,2,"1,000,000",350,26407(1),,,,,,,,,,,,,
NBE Diploma,GEN,Tamil Nadu,"Mahathma Eye Hosp, Trichy",DO(NBEMS),125000,48000,0,0,21,26416(1),,,,,,,,,,,,,
AIQ,SC,Telangana,"Osmania Med Coll, Hyderabad",OPHTHALMOLOGY,"15,000",67032,1,2000000,4800,26419(3),,,,,,,,,,,,,
DNB Post MBBS,GEN,West Bengal,Siliguri Greater Lions EyeHosp,DNBOPHTHALMOLOGY,125000,"55,000",0,0,30,26428(2),,,,,,,,,,,,,
AIQ,SC,West Bengal,Malda Med Coll,OBG,"12,000",61634,3,"3,000,000",700,26432(1),,,,,,,,,,,,,
NBE Diploma,OBC,Maharashtra,"Dr RN Cooper Gen Hosp, Mumbai",DTBCD(NBEMS),125000,80757,0,0,940,26434(1),,,,,,,,,,,,,
NBE Diploma,GEN,Karnataka,"Taluka General Hosp, Belagavi",DGO(NBEMS),125000,"56,250",1,2000000,Info Not Available,26436(1),,,,,,,,,,,,,
AIQ,SC,Andhra Pradesh,"Andhra Med Coll, Vizag",OPHTHALMOLOGY,"30,000",60823,0,0,1030,26440(1),,,,,,,,,,,,,
AIQ,SC,Kerala,"Govt Med Coll, Kozhikode",PSYCHIATRY,"69,470",57876,1,"5,000,000",3025,26443(1),,,,,,,,,,,,,
MNG,GEN,Tamil Nadu,"SRMC & RI, Chennai",OBG,"3,200,000",48000,0,0,1800,26454(18),,,,,,,,,,,,,
DNB Post MBBS,GEN,Odisha,"MahanadiNetra,Subarnapur,Odisha",DNBOPHTHALMOLOGY,125000,"60,000",0,0,30,26464(2),,,,,,,,,,,,,
NBE Diploma,GEN,Karnataka,"General Hosp, Chintamani, KAR",DGO(NBEMS),125000,"56,250",1,2000000,Info Not Available,26467(1),,,,,,,,,,,,,
NBE Diploma,GEN,Madhya Pradesh,"District Hospital, Morena, MP",DGO(NBEMS),125000,"75,444",3,"2,000,000",450,26470(1),,,,,,,,,,,,,
AIQ,ST,Maharashtra,"Seth GS, Mumbai",ORTHOPAEDICS,"157,100",93559,1,5000000,2250,26471(1),,,,,,,,,,,,,
NBE Diploma,GEN,Kerala,"AhaliaWom&ChildHosp,Kozhippara",DGO(NBEMS),125000,57876,0,0,100,26477(2),,,,,,,,,,,,,
DNB Post MBBS,GEN,Andhra Pradesh,"Apollo Hospital, Vizag",DNBANAESTHESIOLOGY,125000,60823,0,0,250,26482(2),,,,,,,,,,,,,
DNB Post MBBS,GEN,Maharashtra,"KIMS-Kingsway Hospitals,Nagpur",DNBANAESTHESIOLOGY,125000,"77,000",0,0,334,26484(1),,,,,,,,,,,,,
NBE Diploma,GEN,Tamil Nadu,"Vijaya Hospital, Chennai",DGO(NBEMS),125000,48000,0,0,281,26486(2),,,,,,,,,,,,,
DNB Post MBBS,GEN,Jammu and Kashmir,"Assoc Hosp Govt MC, Doda",DNBOPHTHALMOLOGY,125000,59500,0,0,300,26489(1),,,,,,,,,,,,,
DNB Post MBBS,GEN,Haryana,"OPJindalInstCancer&Cardiac,Hisar",DNBANAESTHESIOLOGY,125000,66100,0,0,580,26492(2),,,,,,,,,,,,,
AIQ,ST,Punjab,"Guru Govind Singh, Faridkot",GENERAL MEDICINE,"125,000","76,000",2,"2,000,000",1025,26499(1),,,,,,,,,,,,,
AIQ,OBC,Maharashtra,"HBT & RN Cooper, Mumbai",PATHOLOGY,"157,100",93559,1,5000000,940,26500(1),,,,,,,,,,,,,
DNB Post MBBS,GEN,Maharashtra,"Sadhu Vaswani Missions, Pune",DNBFAMILY MEDICINE,125000,90000,0,0,430,26502(4),,,,,,,,,,,,,
AIQ,SC,Tamil Nadu,"Kilpauk Med Coll, Chennai",ANAESTHESIOLOGY,"50,000","54,025",2,"4,000,000",1700,26509(1),,,,,,,,,,,,,
DNB Post MBBS,GEN,Rajasthan,"Manipal Hospital, Jaipur",DNBANAESTHESIOLOGY,125000,"84,400",0,0,225,26510(2),,,,,,,,,,,,,
DNB Post MBBS,GEN,Maharashtra,"KamalnayanBajajHosp,Aurangabad",DNBANAESTHESIOLOGY,125000,"92,470",0,0,300,26517(1),,,,,,,,,,,,,
AIQ,ST,Madhya Pradesh,"MGM Med Coll, Indore",PAEDIATRICS,"101,500",75444,1,"1,000,000",1300,26519(1),,,,,,,,,,,,,
AIQ,SC,Jammu and Kashmir,"Govt Med Coll, Srinagar",ORTHOPAEDICS,"32,500",63240,0,0,3120,26522(1),,,,,,,,,,,,,
MNG,GEN,Tamil Nadu,"SRM Med Coll, Kancheepuram",RADIO DIAGNOSIS,"5,000,000",52451,0,0,1590,26526(4),,,,,,,,,,,,,
DNB Post MBBS,OBC,Uttar Pradesh,"Rana Beni MS DistHosp,Raebareli",DNBENT,125000,70000,0,0,301,26537(1),,,,,,,,,,,,,
AIQ,ST,Rajasthan,"SMS, Jaipur",OBG,"14,093","87,216",2,15000000,5702,26544(3),,,,,,,,,,,,,
NBE Diploma,GEN,Uttar Pradesh,"Dist Women Hosp,Ailwal,Azamgarh",DGO(NBEMS),125000,70000,0,0,Info Not Available,26549(1),,,,,,,,,,,,,
AIQ,ST,Tamil Nadu,"Govt. Mohan Kumaramangalam, Salem",GENERAL MEDICINE,"50,000","54,025",2,"4,000,000",1642,26561(1),,,,,,,,,,,,,
DNB Post MBBS,GEN,Tamil Nadu,"Apollo Spec Hospital, Madurai",DNBANAESTHESIOLOGY,125000,"48,000",0,0,300,26562(6),,,,,,,,,,,,,
AIQ,GEN,Andhra Pradesh,"SV Med Coll, Tirupati",MICROBIOLOGY,"30,000",60823,0,0,940,26563(1),,,,,,,,,,,,,
AIQ,OBC,Uttar Pradesh,"JNMC (AMU), Aligarh",PATHOLOGY,"54,700","114,975",0,0,1269,26566(2),,,,,,,,,,,,,
AIQ,EWS,Tamil Nadu,Chengalpattu Med Coll,ENT,"50,000","54,025",2,"4,000,000",700,26569(1),,,,,,,,,,,,,
NBE Diploma,OBC,Tamil Nadu,"Govt HQ Hosp, Pollachi",DGO(NBEMS),125000,54025,2,2000000,462,26570(1),,,,,,,,,,,,,
DNB Post MBBS,GEN,Uttar Pradesh,"Yashoda SS Hosp, Ghaziabad",DNBANAESTHESIOLOGY,125000,62000,0,0,300,26581(2),,,,,,,,,,,,,
AIQ,SC,Uttar Pradesh,"MLB Med Coll, Jhansi",OPHTHALMOLOGY,"24,000","110,646",2,"4,000,000",700,26590(1),,,,,,,,,,,,,
AIQ,GEN,Uttar Pradesh,"GSVM Med Coll, Kanpur",SPM,"24,000","110,646",2,"4,000,000",2083,26596(1),,,,,,,,,,,,,
NBE Diploma,GEN,Telangana,"Yashoda Health Care Serv, Serilingampally",DTBCD(NBEMS),125000,67032,0,0,600,26597(2),,,,,,,,,,,,,
DNB Post MBBS,GEN,Andhra Pradesh,"KIMS Icon Hosp,Visakhapatnam",DNBORTHOPAEDICS,125000,"60,823",0,0,250,26598(2),,,,,,,,,,,,,
NBE Diploma,GEN,West Bengal,"Calcutta Med Res Inst,Kolkata",DTBCD(NBEMS),125000,"61,634",0,0,440,26600(2),,,,,,,,,,,,,
NBE Diploma,GEN,Uttarakhand,"Max SS Hosp, Dehradun",DTBCD(NBEMS),125000,57000,0,0,200,26610(1),,,,,,,,,,,,,
DNB Post MBBS,GEN,Karnataka,"Apollo BGS Hospital, Mysore",DNBANAESTHESIOLOGY,125000,"56,250",0,0,215,26618(4),,,,,,,,,,,,,
NBE Diploma,GEN,Haryana,"Gaba Hosp,YamunaNagar, Haryana",DGO(NBEMS),125000,"35,000",0,0,100,26624(1),,,,,,,,,,,,,
NBE Diploma,OBC,Rajasthan,"JLN Govt Hosp, Nagaur",DGO(NBEMS),125000,62388,0,0,Info Not Available,26626(1),,,,,,,,,,,,,
DNB Post MBBS,OBC,Karnataka,"K C Gen Hospital, Bangalore",DNBANAESTHESIOLOGY,125000,"56,250",1,2000000,503,26627(1),,,,,,,,,,,,,
AIQ,OBC,Manipur,"RIMS, Imphal",PATHOLOGY,"5,000",109926,0,0,1074,26629(1),,,,,,,,,,,,,
MNG,GEN,Haryana,"MMIMS, Mullana, Ambala",DERMATOLOGY,"4,195,000",56100,1,"1,000,000",940,26631(2),,,,,,,,,,,,,
AIQ,GEN,Chandigarh,"GMC, Chandigarh",SPM,"34,500","109,926",0,0,967,26633(2),,,,,,,,,,,,,
NBE Diploma,GEN,Chhattisgarh,"Central Hosp,Railway,Bilaspur",DGO(NBEMS),125000,67500,0,0,150,26634(1),,,,,,,,,,,,,
AIQ,SC,Odisha,"SCB, Cuttack",OPHTHALMOLOGY,"35,000",73042,2,"5,509,464",2106,26636(1),,,,,,,,,,,,,
AIQ,SC,Assam,"Assam Med Coll, Dibrugarh",OBG,"27,300","55,200",2,"2,000,000",1365,26638(1),,,,,,,,,,,,,
DNB Post MBBS,GEN,Delhi,"Maharaja Agrasen Hosp, Delhi",DNBFAMILY MEDICINE,125000,63000,0,0,400,26642(4),,,,,,,,,,,,,
NBE Diploma,GEN,Haryana,"General Hospital, Panchkula",DTBCD(NBEMS),125000,104346,0,0,300,26654(1),,,,,,,,,,,,,
NBE Diploma,GEN,West Bengal,"Coochbehar Govt Med Coll, WB",DGO(NBEMS),125000,61634,0,0,410,26669(1),,,,,,,,,,,,,
AIQ,SC,Karnataka,"Raichur IMS, Raichur",GENERAL SURGERY,"123,400",56250,1,"5,000,000",500,26670(1),,,,,,,,,,,,,
DNB Post MBBS,GEN,Uttar Pradesh,"Oriana Hospital, Varanasi, UP",DNBORTHOPAEDICS,125000,56100,0,0,100,26675(2),,,,,,,,,,,,,
AIQ,GEN,Gujarat,"Govt Med Coll, Bhavnagar",PATHOLOGY,"30,000",100800,1,"4,000,000",720,26680(3),,,,,,,,,,,,,
NBE Diploma,GEN,Uttar Pradesh,"ShriShivPrasadDistHos,Varanasi",DCH(NBEMS),125000,70000,0,0,316,26699(2),,,,,,,,,,,,,
AIQ,SC,Odisha,"MKCG, Berhampur",GENERAL SURGERY,"35,000",73042,2,"5,509,464",1140,26701(2),,,,,,,,,,,,,
DNB Post MBBS,GEN,Punjab,"AmandeepHosp,GTRd,Amritsar(Joint)",DNBANAESTHESIOLOGY,125000,"76,000",0,0,200,26704(2),,,,,,,,,,,,,
NRI,GEN,Odisha,"IMS & SUM, Bhubaneswar",RADIO DIAGNOSIS,"7,009,000",60000,0,0,1410,26707(1),,,,,,,,,,,,,
DNB Post MBBS,SC,Delhi,"Swami Dayanand Hospital, Delhi",DNBOBG,125000,135264,1,"2,000,000",370,26714(1),,,,,,,,,,,,,
AIQ,GEN,Delhi,"MAMC, Delhi",ANATOMY,"16,200","132,336",1,2000000,2800,26718(1),,,,,,,,,,,,,
DNB Post MBBS,GEN,Haryana,"Virk Hospital, Karnal, Haryana",DNBORTHOPAEDICS,125000,"50,000",0,0,100,26721(2),,,,,,,,,,,,,
AIQ,SC,Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",GENERAL SURGERY,"11,000",80000,0,0,1200,26725(1),,,,,,,,,,,,,
AIQ,GEN,Jammu and Kashmir,"Govt Med Coll, Jammu",PATHOLOGY,"25,000",63240,0,0,2663,26730(3),,,,,,,,,,,,,
AIQ,OBC,Manipur,"RIMS, Imphal",IHBT,"5,000",109926,1,"2,000,000",1074,26731(1),,,,,,,,,,,,,
DNB Post MBBS,SC,Karnataka,"District Hospital, Dharwad",DNBGENERAL MEDICINE,125000,"56,250",1,2000000,250,26733(1),,,,,,,,,,,,,
NBE Diploma,OBC,Rajasthan,"Govt Med Coll Hosp, Dungarpur",DCH(NBEMS),125000,"62,388",0,0,Info Not Available,26738(1),,,,,,,,,,,,,
NBE Diploma,GEN,Jammu and Kashmir,"Sub District Hosp, Sopore, JK",DGO(NBEMS),125000,59500,0,0,200,26740(2),,,,,,,,,,,,,
DNB Post MBBS,SC,Jammu and Kashmir,"Assoc Hosp Govt MC, Doda",DNBOBG,125000,59500,0,0,300,26754(1),,,,,,,,,,,,,
