Alloted Quota,Alloted Category,State,College,Course,Course Fee,2024 R1,2024 R2,2024 R3,2024 R4,2024 R5,2023 R1,2023 R2,2023 R3,2023 R4,2022 R1,2022 R2,2022 R3,2022 R4
All India Quota,EWS,Uttar Pradesh,"Institute of Medical Sciences, BHU, Varanasi",MD GENERAL MEDICINE,48226,187 (1),187 (1),552 (1),-,-,-,-,-,-,676 (1),800 (1),-,-
All India Quota,Open,Uttar Pradesh,"Dr. Ram Manohar Lohia Institute of Medical Sciences, Lucknow",MD RADIODIAGNOSIS,37500,143 (1),143 (1),143 (1),-,-,292 (2),482 (2),243 (2),-,417 (3),629 (3),-,-
All India Quota,Open,Telangana,"Nizams Institute of Medical Sciences, Hyderabad",MD GENERAL MEDICINE,72000,172 (3),172 (3),172 (3),-,-,158 (2),158 (2),158 (2),-,148 (3),148 (3),-,-
All India Quota,Open,Maharashtra,"BJ Government. Medical College, Pune",MD RADIODIAGNOSIS,143300,193 (2),242 (2),394 (2),-,-,306 (1),306 (1),306 (1),-,320 (3),473 (3),-,-
All India Quota,Open,Gujarat,"BJ Medical College, Ahmedabad",MD RADIODIAGNOSIS,30000,221 (4),208 (4),208 (4),-,-,387 (6),465 (6),465 (6),-,268 (4),526 (4),-,-
All India Quota,Open,West Bengal,"Institute of Postgraduate Medical Education & Research (IPGMER), Kolkata",MD RADIODIAGNOSIS,12000,144 (2),144 (2),144 (2),-,-,222 (2),222 (2),222 (2),-,275 (3),275 (3),-,-
All India Quota,Open,Uttar Pradesh,"Institute of Medical Sciences, BHU, Varanasi",MD GENERAL MEDICINE,48226,178 (3),260 (3),260 (3),-,-,160 (4),195 (4),195 (4),-,399 (5),399 (5),-,-
All India Quota,Open,Haryana,"Pt. BD Sharma Postgraduate Institute of Medical Sciences, Rohtak",MD RADIODIAGNOSIS,125000,225 (1),225 (1),225 (1),-,-,346 (2),346 (2),346 (2),-,197 (1),225 (1),367 (1),-
All India Quota,OBC,Tamil Nadu,"Madras Medical College, Chennai",MD RADIODIAGNOSIS,50000,226 (3),247 (3),247 (3),-,-,364 (2),364 (2),364 (2),-,199 (2),199 (2),-,-
All India Quota,Open,Uttar Pradesh,"King George Medical University, Lucknow",MD RADIODIAGNOSIS,54700,146 (1),295 (1),249 (1),-,-,225 (2),421 (2),421 (2),-,212 (1),212 (1),-,-
All India Quota,OBC,Maharashtra,"Seth GS Medical College & KEM Hospital, Mumbai",MD RADIODIAGNOSIS,143300,183 (1),183 (1),183 (1),-,-,314 (2),324 (2),324 (2),-,211 (2),211 (2),-,-
All India Quota,Open,Telangana,"Gandhi Medical College, Secunderabad",MD DERMATOLOGY,25000,209 (1),209 (1),209 (1),-,-,1213 (1),1565 (1),1565 (1),-,1135 (3),1860 (3),-,-
All India Quota,Open,Tamil Nadu,"Kilpauk Medical College, Chennai",MD RADIODIAGNOSIS,50000,210 (1),498 (1),498 (1),-,-,573 (1),573 (1),573 (1),-,-,-,-,-
All India Quota,Open,Punjab,"Government Medical College, Patiala",MD DERMATOLOGY,125000,177 (1),177 (1),177 (1),-,-,1021 (2),1563 (2),1610 (2),-,1457 (1),1457 (1),-,-
All India Quota,Open,Chandigarh,"Government Medical College, Chandigarh",MD GENERAL MEDICINE,34500,216 (1),216 (1),216 (1),-,-,259 (1),259 (1),259 (1),-,336 (2),336 (2),-,-
All India Quota,OBC,Delhi,"Maulana Azad Medical College, New Delhi",MD RADIODIAGNOSIS,57600,153 (2),153 (2),153 (2),-,-,242 (3),336 (3),336 (3),-,110 (2),110 (2),-,-
DU,Open,Delhi,"GB Pant Institute of Postgraduate Medical Education & Research, New Delhi",MD RADIODIAGNOSIS,57600,164 (1),164 (1),164 (1),-,-,-,-,-,-,-,-,-,-
All India Quota,OBC,Delhi,"Lady Hardinge Medical College, New Delhi",MD RADIODIAGNOSIS,57600,212 (1),212 (1),212 (1),-,-,374 (1),374 (1),374 (1),-,169 (1),169 (1),-,-
All India Quota,OBC,Uttar Pradesh,"Institute of Medical Sciences, BHU, Varanasi",MD RADIODIAGNOSIS,48226,228 (1),228 (1),228 (1),-,-,470 (2),481 (2),481 (2),-,414 (2),414 (2),-,-
All India Quota,Open,Delhi,"Lady Hardinge Medical College, New Delhi",MD GENERAL MEDICINE,57600,142 (4),142 (4),142 (4),-,-,119 (3),157 (3),170 (3),-,255 (5),255 (5),-,-
All India Quota,OBC,Delhi,"ABVIMS (Formerly PGIMER) & Dr. RML Hospital, New Delhi",MD RADIODIAGNOSIS,41000,173 (3),173 (3),173 (3),-,-,269 (2),269 (2),269 (2),-,115 (2),115 (2),-,-
