Alloted Quota,Alloted Category,State,College,Course,Course Fee,2024 R1,2024 R2,2024 R3,2024 R4,2024 R5,2023 R1,2023 R2,2023 R3,2023 R4,2022 R1,2022 R2,2022 R3,2022 R4
All India Quota,ST,Andhra Pradesh,"Government Medical College (formerly RIMS), Ongole",MS GENERAL SURGERY,15375,46077 (1),50695 (1),57839 (1),-,-,-,-,-,-,-,-,-,-
All India Quota,ST,West Bengal,"Institute of Postgraduate Medical Education & Research (IPGMER), Kolkata",MS ORTHOPAEDICS,12000,46078 (1),46078 (1),46078 (1),-,-,-,-,-,-,-,-,-,-
All India Quota,ST,Tamil Nadu,"Stanley Medical College, Chennai",MS GENERAL SURGERY,50000,46089 (1),46089 (1),57941 (1),-,-,19505 (1),19505 (1),19505 (1),-,-,39371 (1),39371 (1),-
All India Quota,OBC,Bihar,"Indira Gandhi Institute of Medical Sciences, Sheikhpura, Patna",MD COMMUNITY MEDICINE,160000,46096 (1),52207 (1),52207 (1),-,-,36259 (1),58726 (1),58726 (1),-,-,31235 (1),33725 (1),-
Deemed: Mngmt,Open,Maharashtra,"Mahatma Gandhi Missions Medical College, Navi Mumbai",MD FAMILY MEDICINE,2000000,46113 (2),44357 (2),44357 (2),-,-,46717 (2),46717 (2),46717 (2),-,-,37321 (2),48210 (2),-
DNB Quota,Open,Haryana,"Ojas Super Speciality Hospital, Panchkula",Diploma in ANAESTHESIOLOGY - DA (NBEMS),125000,46115 (2),45571 (2),45571 (2),-,-,49839 (2),55636 (2),56795 (2),63129 (1),-,32942 (2),45974 (2),-
DNB Quota,OBC,Andhra Pradesh,"Government General Hospital, Nandyal",Diploma in ANAESTHESIOLOGY - DA (NBEMS),125000,46119 (1),46119 (1),46119 (1),-,-,32183 (1),48824 (1),48824 (1),-,-,36689 (1),47540 (1),-
DNB Quota,Open,Rajasthan,"SK Hospital, Sikar",Diploma in OPHTHALMOLOGY - DO (NBEMS),125000,46130 (2),48324 (2),48324 (2),-,-,51043 (2),60762 (2),60762 (2),-,-,38916 (2),50420 (2),-
DNB Quota,Open,Rajasthan,"Government General Hospital, Madhopur",Diploma in FAMILY MEDICINE - D Fam. Med. (NBEMS),125000,46137 (2),48200 (2),55352 (2),-,-,-,-,-,-,-,51089 (2),63931 (2),73796 (3)
Deemed: Mngmt,Open,Karnataka,"Sri Siddhartha Medical College, Tumkur",MD PULMONARY MEDICINE,3150000,46142 (3),55368 (3),64514 (3),-,-,44846 (3),51233 (3),46530 (3),-,-,55921 (3),63754 (3),22068 (1)
DNB Quota,Open,Madhya Pradesh,"Shrimant Madhavrao Schindhiya District Hospital, Vidisha",Diploma in ANAESTHESIOLOGY - DA (NBEMS),125000,46160 (1),46160 (1),46775 (1),-,-,-,-,-,-,-,-,-,-
All India Quota,ST,Gujarat,"BJ Medical College, Ahmedabad",MS ENT,30000,46177 (1),45296 (1),57824 (1),-,-,51957 (1),55139 (1),67110 (1),-,-,42174 (1),43241 (1),-
DNB Quota,EWS,Rajasthan,"General Hospital, Karauli",Diploma in ANAESTHESIOLOGY - DA (NBEMS),125000,46216 (1),52366 (1),54882 (1),42969 (1),-,-,-,-,-,-,-,-,-
DNB Quota,OBC,Rajasthan,"Government District Civil Hospital, Suratgarh",Diploma in ANAESTHESIOLOGY - DA (NBEMS),125000,46256 (1),49002 (1),39770 (1),-,-,-,-,-,-,-,-,-,-
All India Quota,SC,Uttar Pradesh,"Uttar Pradesh University of Medical Sciences (formerly UP Rural IMS&R), Etawah",MD PATHOLOGY,40000,46273 (1),46273 (1),63152 (1),-,-,-,-,-,-,-,-,-,-
All India Quota,EWS,Uttar Pradesh,"Institute of Medical Sciences, BHU, Varanasi",MD PHARMACOLOGY,48226,46299 (1),46925 (1),46925 (1),-,-,41141 (1),46621 (1),41141 (1),-,-,17897 (1),49817 (1),-
DNB Quota,SC,Bihar,"Bihar State Institute of Mental Health & Allied Sciences (BIMHAS), Bhojpur",DNB PSYCHIATRY,125000,46305 (1),46206 (1),47159 (1),-,-,-,-,-,-,-,-,-,-
DNB Quota,OBC,Karnataka,"General Hospital, Shikaripura",Diploma in ANAESTHESIOLOGY - DA (NBEMS),125000,46324 (1),51519 (1),51519 (1),-,-,46407 (1),55396 (1),55396 (1),-,-,-,-,-
DNB Quota,OBC,Rajasthan,"District Hospital, Dholpur",Diploma in OPHTHALMOLOGY - DO (NBEMS),125000,46327 (1),40714 (1),52403 (1),-,-,-,-,-,-,-,-,-,-
Deemed: Mngmt,Open,Tamil Nadu,"Vinayaka Missions Kirupananda Variyar Medical College, Salem",MD GENERAL MEDICINE,4012000,46330 (8),49969 (8),52048 (8),-,-,50039 (10),53472 (10),53472 (10),-,-,46245 (5),60241 (5),-
IPU,ST,Delhi,"Vardhman Mahavir Medical College & Safdarjung Hospital, Delhi",MS GENERAL SURGERY,41000,46344 (1),46344 (1),46344 (1),-,-,-,-,-,-,-,46364 (1),46364 (1),-
Deemed: NRI,Open,Tamil Nadu,"Sri Ramachandra Medical College & Research Institute, Chennai",MS GENERAL SURGERY,6263000,46377 (3),46377 (3),51184 (3),-,-,81853 (3),81853 (3),81853 (3),-,-,95829 (3),95829 (3),-
DNB Quota,Open,Uttar Pradesh,"Maharaja Suhel Dev Medical College & Mahrishi Balark Hospital, Bahraich",Diploma in FAMILY MEDICINE - D Fam. Med. (NBEMS),125000,46401 (2),48857 (2),44102 (2),-,-,-,-,-,-,-,-,-,-
DNB Quota,ST,West Bengal,"Divisional Railway Hospital, Asansol",DNB GENERAL MEDICINE,125000,46407 (1),41569 (1),57243 (1),74651 (1),-,-,-,-,-,-,-,-,-
All India Quota,Open,Tamil Nadu,"Stanley Medical College, Chennai",MD PHYSIOLOGY,50000,46408 (1),51243 (1),51243 (1),-,-,-,-,-,-,-,-,-,-
All India Quota,EWS,Telangana,"Government Medical College, Siddipet",MD PATHOLOGY,25000,46425 (1),46425 (1),46425 (1),-,-,-,-,-,-,-,-,-,-
Deemed: Mngmt,Open,Haryana,"Maharishi Markandeshwar Institute of Medical Sciences & Research, Mullana, Ambala",MD PSYCHIATRY,2795000,46428 (2),47984 (2),47984 (2),-,-,46232 (2),64583 (2),50450 (2),-,-,56575 (2),90413 (2),-
All India Quota,Open,West Bengal,"College of Medicine & Sagore Dutta Hospital, Kolkata",MD MICROBIOLOGY,12000,46431 (1),61441 (1),86168 (1),-,-,-,-,78134 (1),100268 (1),102494 (1),-,-,-
All India Quota,OBC PwD,Gujarat,"MP Shah Medical College, Jamnagar",MD GENERAL MEDICINE,30000,46435 (1),-,186256 (1),-,-,-,-,-,-,-,-,-,-
DNB Quota,OBC,Madhya Pradesh,"District Hospital, Sagar",Diploma in ANAESTHESIOLOGY - DA (NBEMS),125000,46442 (1),50834 (1),45540 (1),-,-,-,-,-,-,-,-,-,-
All India Quota,EWS,Delhi,"Maulana Azad Medical College, New Delhi",MD PHARMACOLOGY,57600,46445 (1),46445 (1),46445 (1),-,-,-,-,-,-,-,-,-,-
All India Quota,SC,Maharashtra,"Grant Medical College, Mumbai",MD PATHOLOGY,143300,46470 (2),51122 (2),56880 (2),-,-,39105 (2),45399 (2),53014 (2),58946 (2),-,34358 (1),41413 (2),38788 (1)
DNB Quota,OBC,Rajasthan,"SK Hospital, Sikar",Diploma in OPHTHALMOLOGY - DO (NBEMS),125000,46471 (1),46471 (1),46471 (1),-,-,53134 (1),53134 (1),53134 (1),-,-,41109 (1),63632 (1),38978 (1)
All India Quota,OBC,Uttar Pradesh,"SN Medical College, Agra",MD COMMUNITY MEDICINE,40000,46482 (1),46482 (1),59031 (1),-,-,46512 (1),60161 (1),54633 (1),87366 (1),-,38758 (1),59905 (1),-
Deemed: Mngmt,Open,Tamil Nadu,"SRM Medical College Hospital & Research Centre, Chengalpattu",MS OPHTHALMOLOGY,3000000,46502 (2),46502 (2),52782 (2),-,-,50663 (4),53439 (4),52773 (4),24917 (1),79671 (1),57668 (5),60545 (5),-
Deemed: Mngmt,Open,Maharashtra,"Dr. DY Patil Medical College, Kolhapur",MD PSYCHIATRY,2525000,46506 (3),51149 (3),56863 (3),-,-,61187 (3),63455 (3),63455 (3),-,-,65148 (3),83515 (3),79620 (2)
All India Quota,ST,Maharashtra,"Government Medical College, Chandrapur",MS GENERAL SURGERY,143300,46507 (1),56439 (1),62403 (1),71402 (1),-,45266 (1),53651 (1),61425 (1),62590 (1),-,40118 (1),47665 (1),-
Deemed: Mngmt,Open,Maharashtra,"Bharati Vidyapeeth University Medical College, Pune",MD PSYCHIATRY,2921625,46511 (5),46804 (5),51653 (5),60015 (1),-,55358 (5),56677 (5),56677 (5),-,-,59937 (3),71643 (3),-
DNB Quota,SC,Rajasthan,"Government General Hospital, Madhopur",Diploma in OBG - DGO (NBEMS),125000,46520 (1),52139 (1),52139 (1),-,-,47151 (1),51837 (1),55350 (1),-,-,-,-,-
All India Quota,ST,Bihar,"Indira Gandhi Institute of Medical Sciences, Sheikhpura, Patna",MD ANAESTHESIOLOGY,160000,46521 (1),63349 (1),69903 (1),-,-,-,-,-,-,-,42355 (1),50961 (1),64617 (1)
DNB Quota,SC,Dadra & Nagar Haveli,"Shri Vinoba Bhave Civil Hospital, Silvassa",Diploma in FAMILY MEDICINE - D Fam. Med. (NBEMS),125000,46528 (1),46528 (1),46528 (1),-,-,-,-,-,-,-,57731 (1),68447 (1),73190 (1)
All India Quota,ST,Assam,"Tezpur Medical College & Hospital, Tezpur",MD PATHOLOGY,36300,46536 (1),76831 (1),115145 (1),120421 (1),-,76418 (1),76418 (1),93905 (1),-,-,-,-,-
DNB Quota,Open,Andhra Pradesh,"Rural Development Trust Hospital, Anantapur",Diploma in FAMILY MEDICINE - D Fam. Med. (NBEMS),125000,46586 (1),46586 (1),46586 (1),-,-,45594 (1),41754 (1),57704 (1),-,-,35282 (1),38248 (1),38248 (1)
All India Quota,ST,West Bengal,"North Bengal Medical College, Darjeeling",MS OBG,12000,46610 (1),47471 (1),47471 (1),-,-,-,-,-,-,-,-,-,-
All India Quota,Open,West Bengal,"Murshidabad Medical College & Hospitals, Murshidabad",MD COMMUNITY MEDICINE,12000,46618 (1),55389 (1),63988 (1),-,-,-,-,-,-,-,-,-,-
All India Quota,Open,Bihar,"Shri Krishna Medical College, Muzaffarpur",MD PHARMACOLOGY,22200,46620 (1),46620 (1),46620 (1),-,-,73263 (1),74367 (1),91164 (1),-,-,30710 (1),30710 (1),-
DNB Quota,Open,Chhattisgarh,"Mark Hospital, Bilaspur",Diploma in ANAESTHESIOLOGY - DA (NBEMS),125000,46625 (2),40482 (2),45541 (2),-,-,-,56161 (2),56161 (2),-,-,-,-,-
Deemed: Mngmt,Open,Maharashtra,"Dr. DY Patil Medical College, Kolhapur",MS ORTHOPAEDICS,3255000,46658 (7),45312 (7),53028 (7),-,-,47218 (7),47218 (7),49411 (7),58915 (1),-,48146 (7),64833 (7),-
All India Quota,Open,Delhi,"University College of Medical Sciences & GTB Hospital, New Delhi",MD ANATOMY,57600,46664 (1),52698 (1),83093 (3),-,-,52982 (1),67929 (1),89168 (4),112188 (3),100852 (2),40210 (1),52540 (1),94923 (3)
All India Quota,EWS,West Bengal,"ESIC Medical College, Joka, Kolkata",MD PATHOLOGY,250000,46684 (1),64388 (1),49546 (1),-,-,-,-,-,-,-,-,-,-
DNB Quota,Open,Haryana,"Lala Harbhagwan Das Memorial & Dr. Prem Hospital, Panipat",Diploma in ANAESTHESIOLOGY - DA (NBEMS),125000,46700 (2),49897 (2),49897 (2),-,-,45779 (2),53697 (2),57357 (2),-,-,32790 (2),48751 (2),50891 (2)
IPU,Open,Delhi,"Vardhman Mahavir Medical College & Safdarjung Hospital, Delhi",MD COMMUNITY MEDICINE,41000,46703 (1),26668 (1),26668 (1),-,-,14432 (1),36490 (1),36490 (1),-,-,56985 (3),75097 (3),-
All India Quota,OBC,Maharashtra,"Government Medical College, Aurangabad",MD COMMUNITY MEDICINE,143300,46706 (2),50337 (2),57806 (2),67812 (1),-,49977 (2),62086 (2),58330 (2),-,-,34566 (2),61061 (2),70923 (1)
DNB Quota,Open,Uttarakhand,"Sai Hospital, Haldwani",Diploma in ANAESTHESIOLOGY - DA (NBEMS),125000,46721 (2),47019 (2),50327 (2),-,-,-,-,-,-,-,-,-,-
All India Quota,ST,Rajasthan,"SMS Medical College, Jaipur",MD PSYCHIATRY,10982,46731 (1),53067 (1),53067 (1),-,-,34622 (1),55931 (1),58384 (1),-,-,31809 (1),47060 (1),-
All India Quota,OBC,Telangana,"Osmania Medical College, Hyderabad",MD MICROBIOLOGY,25000,46733 (1),50672 (1),61012 (2),-,-,49437 (2),57129 (2),60131 (2),-,-,46934 (2),67826 (2),82320 (2)
All India Quota,OBC,Bihar,"Indira Gandhi Institute of Medical Sciences, Sheikhpura, Patna",MD PHARMACOLOGY,160000,46737 (1),46737 (1),46737 (1),-,-,-,-,-,-,-,-,-,-
All India Quota,Open,Madhya Pradesh,"Gajra Raja Medical College, Gwalior",MD COMMUNITY MEDICINE,101500,46746 (3),49842 (3),62360 (3),-,-,44749 (3),55877 (3),64514 (3),-,-,24495 (2),41006 (2),62580 (1)
All India Quota,ST,Telangana,"Government Medical College, Nizamabad",MD PULMONARY MEDICINE,25000,46752 (1),55863 (1),55863 (1),-,-,-,-,-,-,-,-,-,-
All India Quota,Open,West Bengal,"Government Medical College, Kolkata",MD PHARMACOLOGY,12000,46756 (1),55387 (1),55387 (1),-,-,51613 (1),51613 (1),51613 (1),-,-,32868 (1),51617 (1),47354 (1)
All India Quota,SC,Rajasthan,"SMS Medical College, Jaipur",MD TRANSFUSION MEDICINE,10982,46769 (1),49096 (1),56555 (1),74283 (1),-,52896 (1),57668 (1),57516 (1),-,-,32954 (1),50478 (1),56552 (1)
DNB Quota,OBC,Uttarakhand,"VCSG Government Medical College, Srinagar, Pauri Garhwal",Diploma in ANAESTHESIOLOGY - DA (NBEMS),125000,46775 (1),49290 (1),48972 (1),-,-,53308 (1),45779 (1),57265 (1),45975 (1),-,38652 (1),56865 (1),46792 (1)
DNB Quota,SC,Rajasthan,"Government District Saadat Hospital, Tonk",Diploma in PAEDIATRICS - DCH (NBEMS),125000,46790 (1),54004 (1),57187 (1),-,-,-,-,-,-,-,-,-,-
All India Quota,Open,Tripura,"Agartala Government Medical College, Agartala",MD PHARMACOLOGY,150000,46801 (1),75139 (1),60768 (1),105415 (1),126945 (1),-,-,-,-,-,47477 (1),42392 (1),74274 (1)
DNB Quota,SC,Haryana,"BPS Government Medical College for Women, Sonepat",Diploma in TB & CHEST DISEASE - DTCD (NBEMS),125000,46834 (1),46834 (1),54665 (1),-,-,42530 (1),42530 (1),49003 (1),-,-,-,-,-
All India Quota,OBC,Andhra Pradesh,"Rajiv Gandhi Institute of Medical Sciences, Srikakulam",MD COMMUNITY MEDICINE,15375,46841 (1),58096 (1),62287 (1),69661 (1),-,40229 (1),49246 (1),65310 (1),82749 (1),-,21739 (1),38735 (1),-
DNB Quota,SC,Karnataka,"District Hospital, Haveri",Diploma in ANAESTHESIOLOGY - DA (NBEMS),125000,46855 (1),65730 (1),63272 (1),65526 (1),69189 (1),-,-,-,-,-,54001 (1),58414 (1),-
All India Quota,ST,Andhra Pradesh,"SV Medical College, Tirupati",MS GENERAL SURGERY,15375,46861 (1),46077 (1),52976 (1),-,-,40276 (1),40276 (1),41297 (1),-,-,42170 (1),46526 (1),-
DNB Quota,Open,Uttar Pradesh,"Felix Hospital, Noida",Diploma in FAMILY MEDICINE - D Fam. Med. (NBEMS),125000,46888 (2),43801 (2),53377 (2),-,-,43470 (2),49333 (2),45035 (2),-,-,-,-,-
DNB Quota,Open,West Bengal,"Bolpur Sub Division Hospital, Bolpur",Diploma in ANAESTHESIOLOGY - DA (NBEMS),125000,46901 (1),33446 (1),49732 (1),-,-,44226 (1),56218 (1),60523 (1),-,-,-,-,-
All India Quota,EWS,Delhi,"University College of Medical Sciences & GTB Hospital, New Delhi",MD PHARMACOLOGY,57600,46941 (1),51712 (1),52596 (1),-,-,-,-,-,-,-,-,-,-
All India Quota,OBC,Telangana,"Nizams Institute of Medical Sciences, Hyderabad",MD MICROBIOLOGY,72000,46956 (1),46956 (1),46956 (1),-,-,-,-,-,-,-,-,-,-
All India Quota,OBC,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",MD FORENSIC MEDICINE,15375,46973 (1),74584 (1),74584 (1),-,-,-,76029 (2),83758 (2),-,-,40148 (1),23872 (1),73253 (1)
DNB Quota,Open,Jammu & Kashmir,"Government Medical College, Kathua",DNB COMMUNITY MEDICINE,125000,46974 (1),57644 (1),60314 (1),65531 (1),109452 (1),-,-,-,-,-,-,-,68284 (1)
All India Quota,OBC,Haryana,"BPS Government Medical College for Women, Sonepat",MD COMMUNITY MEDICINE,125000,46978 (1),48119 (1),52844 (1),-,-,54218 (1),54997 (1),54997 (1),-,-,-,-,-
DNB Quota,SC,Uttar Pradesh,"District Combined Hospital, Sec 23, Ghaziabad",Diploma in PAEDIATRICS - DCH (NBEMS),125000,46986 (1),47351 (1),47908 (1),-,-,-,-,-,-,-,-,-,-
All India Quota,Open,West Bengal,"School of Tropical Medicine, Kolkata",MD PHARMACOLOGY,12000,46999 (1),63677 (1),63677 (1),-,-,49764 (1),61745 (1),61745 (1),-,-,-,-,42430 (1)
DNB Quota,OBC,Uttar Pradesh,"Government Medical College & Super Facility Hospital, Azamgarh",Diploma in FAMILY MEDICINE - D Fam. Med. (NBEMS),125000,47000 (1),50016 (1),50016 (1),-,-,43807 (1),48302 (1),54774 (1),-,-,50829 (1),56133 (1),57519 (1)
Deemed: Mngmt,Open,Karnataka,"JSS Medical College, Mysore",MD ANAESTHESIOLOGY,2200000,47002 (14),49010 (14),50200 (14),42933 (1),-,44103 (14),48510 (14),48510 (14),-,-,44167 (14),54143 (14),60932 (2)
All India Quota,ST,Assam,"Tezpur Medical College & Hospital, Tezpur",MS GENERAL SURGERY,36300,47011 (1),47011 (1),53097 (1),81974 (1),-,-,-,-,-,-,49854 (1),49854 (1),-
DU,SC,Delhi,"Lady Hardinge Medical College, New Delhi",MD FORENSIC MEDICINE,57600,47016 (1),-,157786 (1),-,-,-,-,186334 (1),185235 (1),-,108172 (1),-,-
DNB Quota,Open,Uttar Pradesh,"Siddh Multi Specialty Hospital, Moradabad",Diploma in ANAESTHESIOLOGY - DA (NBEMS),125000,47019 (4),52798 (4),52798 (4),-,-,52331 (4),62722 (4),65014 (4),-,-,39170 (2),55537 (2),57933 (2)
All India Quota,OBC,Andhra Pradesh,"Government Siddhartha Medical College, Vijayawada",MD COMMUNITY MEDICINE,15375,47025 (1),53223 (1),52482 (1),-,-,-,-,-,-,-,30471 (1),41634 (1),-
All India Quota,Open,West Bengal,"RG Kar Medical College, Kolkata",MD MICROBIOLOGY,12000,47043 (2),58547 (2),85571 (3),-,-,43667 (1),43667 (1),43667 (1),-,-,20213 (1),20213 (1),63996 (1)
DNB Quota,ST,Maharashtra,"Seth VC Gandhi & MA Vora Municipal General Hospital (Rajawadi Hospital), Mumbai",DNB PAEDIATRICS,125000,47061 (1),38657 (1),54386 (1),-,-,-,-,-,-,-,-,-,-
All India Quota,Open,Madhya Pradesh,"MGM Medical College, Indore",MD BIOCHEMISTRY,101500,47071 (1),70220 (1),91173 (2),-,-,88973 (1),98898 (1),108174 (2),-,-,74962 (4),80610 (3),117909 (2)
DNB Quota,Open,Uttar Pradesh,"Raj Eye Hospital, Gorakhpur",Diploma in OPHTHALMOLOGY - DO (NBEMS),125000,47091 (2),46235 (2),49243 (2),37243 (1),39574 (1),30743 (1),54829 (1),54829 (1),-,-,36376 (2),49267 (2),50151 (2)
Deemed: Mngmt,Open,Tamil Nadu,"Shri Sathya Sai Medical College & Research Institute, Ammapettai",MD GENERAL MEDICINE,4000000,47098 (8),52048 (8),51412 (8),-,-,53472 (8),56646 (8),56646 (8),-,-,53750 (8),64264 (8),47310 (2)
All India Quota,OBC,Maharashtra,"Rajiv Gandhi Medical College & Chhatrapati Shivaji Maharaj Hospital, Thane",MD COMMUNITY MEDICINE,143300,47101 (1),47101 (1),47101 (1),-,-,40034 (1),54386 (1),53016 (1),-,-,33300 (1),61942 (1),-
All India Quota,EWS,Madhya Pradesh,"Government Medical College, Ratlam",MD PATHOLOGY,101500,47117 (1),56673 (1),56673 (1),-,-,-,-,-,-,-,-,-,-
All India Quota,EWS,Odisha,"MKCG Medical College, Berhampur",MD PATHOLOGY,38500,47124 (1),60315 (1),58906 (1),-,-,-,-,-,-,-,29151 (1),64128 (1),46236 (1)
All India Quota,SC,Maharashtra,"Lokmanya Tilak Municipal Medical College, Mumbai",MD PATHOLOGY,143300,47127 (1),43952 (1),49362 (1),-,-,-,-,-,-,-,31122 (1),43495 (1),-
IPU,ST,Delhi,"ABVIMS (Formerly PGIMER) & Dr. RML Hospital, New Delhi",MS ORTHOPAEDICS,41000,47129 (1),47129 (1),47129 (1),-,-,-,-,-,-,-,49559 (1),68902 (1),-
All India Quota,OBC,Maharashtra,"Government Medical College, Nagpur",MD COMMUNITY MEDICINE,143300,47132 (3),49284 (3),62129 (3),-,-,44491 (3),60295 (3),60295 (3),-,-,33698 (3),53798 (3),65557 (2)
Deemed: Mngmt,Open,Karnataka,"Shri BM Patil Medical College, Hospital & Research Centre, Vijayapura",MS OPHTHALMOLOGY,2200000,47137 (5),45186 (5),46562 (5),-,-,44319 (5),46126 (5),46126 (5),-,-,41611 (5),45385 (5),35589 (1)
Jain Minority,Open,Gujarat,"SBKS Medical Institute & Research Centre, Vadodara",MS ORTHOPAEDICS,2970000,47145 (4),49472 (4),49472 (4),-,-,52589 (4),52589 (4),52589 (4),74644 (1),-,59305 (4),76005 (4),83861 (1)
All India Quota,OBC,Chandigarh,"Government Medical College, Chandigarh",MD MICROBIOLOGY,34500,47150 (1),53057 (1),57694 (1),-,-,-,-,-,-,-,33305 (1),68019 (1),-
All India Quota,ST,West Bengal,"College of Medicine & Sagore Dutta Hospital, Kolkata",MD PAEDIATRICS,12000,47155 (1),48850 (1),55153 (1),-,-,-,-,-,-,-,-,-,-
All India Quota,EWS,Andhra Pradesh,"Government Medical College, Ananthapuram",MD PATHOLOGY,15375,47158 (1),50637 (1),58021 (1),-,-,-,-,-,-,-,-,-,-
All India Quota,ST,Punjab,"Guru Govind Singh Medical College, Faridkot",MS GENERAL SURGERY,125000,47160 (1),44957 (1),63258 (1),-,-,47082 (1),51352 (1),55973 (1),-,-,-,-,-
All India Quota,ST,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",MD PSYCHIATRY,15375,47166 (1),69723 (1),69723 (1),-,-,-,-,-,-,-,56610 (1),59105 (1),-
All India Quota,SC,Uttar Pradesh,"Jawaharlal Nehru Medical College, Aligarh",MD PATHOLOGY,38000,47171 (1),47882 (1),47882 (1),-,-,33259 (1),41065 (1),49534 (1),-,-,35864 (2),44313 (2),-
Deemed: Mngmt,Open,Maharashtra,"Mahatma Gandhi Missions Medical College, Navi Mumbai",MD PSYCHIATRY,3000000,47173 (2),47173 (2),47173 (2),-,-,54103 (3),54129 (3),54129 (3),-,-,52880 (3),62795 (3),-
DNB Quota,Open,Rajasthan,"District Hospital, Dholpur",Diploma in FAMILY MEDICINE - D Fam. Med. (NBEMS),125000,47175 (1),45608 (1),54929 (1),-,-,55313 (1),55313 (1),67285 (2),51909 (1),-,51187 (2),60800 (2),55640 (2)
DNB Quota,Open,Odisha,"Apollo Hospital, Bhubaneshwar",DNB MICROBIOLOGY,125000,47185 (1),56707 (1),63928 (1),90595 (1),105711 (1),58515 (1),48315 (1),92133 (1),120150 (1),-,-,-,-
All India Quota,Open,Karnataka,"Kidwai Memorial Institute of Oncology, Bangalore",MD MICROBIOLOGY,69150,47189 (1),46408 (1),46408 (1),-,-,53135 (1),53135 (1),53135 (1),-,-,-,-,-
Deemed: NRI,Open,Maharashtra,"Mahatma Gandhi Missions Medical College, Aurangabad",MD DERMATOLOGY,10000000,47193 (1),47193 (1),47193 (1),-,-,80598 (1),80598 (1),80598 (1),-,-,69543 (1),69543 (1),-
All India Quota,Open,Meghalaya,"North Eastern Indira Gandhi Regional Instt. of Health & Medical Sciences, Shillong",MD PHARMACOLOGY,28300,47208 (1),66061 (1),65510 (1),78169 (1),84908 (1),36827 (1),41326 (1),41326 (1),-,-,33381 (1),34943 (1),-
DNB Quota,Open,Nagaland,"Christian Institute of Health Sciences & Research, Dimapur",Diploma in ANAESTHESIOLOGY - DA (NBEMS),125000,47209 (2),51282 (2),49446 (2),-,-,46829 (2),56501 (2),63135 (2),-,-,39813 (2),48269 (2),55473 (2)
All India Quota,OBC,Rajasthan,"RNT Medical College, Udaipur",MD COMMUNITY MEDICINE,12812,47218 (1),56876 (1),56876 (1),-,-,48530 (1),48530 (1),48530 (1),-,-,35356 (1),49068 (1),70144 (1)
DNB Quota,EWS,Uttar Pradesh,"Divisional District Hospital, Azamgarh",Diploma in OPHTHALMOLOGY - DO (NBEMS),125000,47225 (1),57884 (1),57884 (1),-,-,-,-,-,-,-,-,-,-
All India Quota,ST,West Bengal,"Midnapore Medical College, Midnapore",MD PAEDIATRICS,12000,47226 (1),54416 (1),57087 (1),-,-,43721 (1),46161 (1),52928 (1),-,-,-,-,-
BHU,EWS,Uttar Pradesh,"Institute of Medical Sciences, BHU, Varanasi",MD ANAESTHESIOLOGY,48226,47246 (1),47246 (1),47246 (1),-,-,-,-,-,-,-,-,-,-
All India Quota,OBC,Gujarat,"MP Shah Medical College, Jamnagar",MD FORENSIC MEDICINE,30000,47269 (1),74274 (1),74274 (1),-,-,-,-,-,-,-,52373 (1),74067 (1),-
All India Quota,OBC,Himachal Pradesh,"Dr. Rajendar Prasad Government Medical College, Tanda",MD COMMUNITY MEDICINE,39000,47297 (1),44453 (1),81124 (1),-,-,-,-,-,-,-,38537 (1),63818 (1),85214 (1)
All India Quota,OBC,Delhi,"University College of Medical Sciences & GTB Hospital, New Delhi",MD MICROBIOLOGY,57600,47304 (1),47304 (1),52711 (2),-,-,43561 (1),49717 (1),69019 (3),59749 (1),57108 (1),29705 (1),29705 (1),61271 (1)
DNB Quota,OBC,Rajasthan,"Rajiv Gandhi Government General Hospital, Alwar",Diploma in ANAESTHESIOLOGY - DA (NBEMS),125000,47335 (1),39988 (1),39988 (1),-,-,55338 (1),50435 (1),50435 (1),-,-,38561 (1),57327 (1),49823 (1)
All India Quota,SC,Kerala,"Government Medical College, Kozhikode",MD FORENSIC MEDICINE,69470,47340 (1),59554 (1),59554 (1),-,-,-,-,-,-,-,29706 (1),63603 (1),64987 (1)
All India Quota,Open,West Bengal,"Malda Medical College & Hospital, Malda",MD MICROBIOLOGY,12000,47341 (1),81071 (1),106119 (1),104263 (1),-,-,-,-,-,-,45756 (1),65430 (1),80142 (1)
All India Quota,ST,Karnataka,"Bangalore Medical College & Research Institute, Bangalore",MD PSYCHIATRY,124150,47345 (1),72236 (1),79497 (1),-,-,-,-,-,-,-,-,-,-
DNB Quota,Open,Meghalaya,"Civil Hospital, Shillong",Diploma in ANAESTHESIOLOGY - DA (NBEMS),125000,47370 (2),50918 (2),52325 (2),48841 (1),-,40993 (1),56909 (1),56909 (1),-,-,-,-,-
DNB Quota,Open,Madhya Pradesh,"Bansal Hospital, Bhopal",Diploma in FAMILY MEDICINE - D Fam. Med. (NBEMS),125000,47375 (2),51242 (2),50721 (2),-,-,41978 (2),48230 (2),51328 (2),49753 (1),-,40825 (2),53807 (2),70353 (2)
All India Quota,ST,Karnataka,"Bangalore Medical College & Research Institute, Bangalore",MD PATHOLOGY,69150,47391 (1),80793 (1),80793 (1),-,-,76553 (1),76553 (1),76553 (1),-,-,61754 (1),80062 (1),72733 (1)
