State,Institute,Institute Type,University,Year of Establishment,Total PG Seats,Total Hospital Beds
Uttar Pradesh,"Prakash Hospital & Trauma Centre, Mau",Private,NBEMS,0,1,60
Maharashtra,"Rajmata Jijau Hospital, Navi Mumbai",Govt,NBEMS,0,6,210
Karnataka,"Sahyadri Narayana Multispecialty Hospital, Shimoga",Private,NBEMS,0,11,249
Tamil Nadu,"Parvathy Ortho Hospital, Chennai",Private,NBEMS,1992,1,150
Gujarat,"Institute of Neurosciences, Surat",Private,NBEMS,2017,0,50
Haryana,"Kalpana Chawla Government Medical College, Karnal, Haryana",Govt,"Pt. BD. Sharma University of Health Sciences, Rohtak",2017,48,536
Tamil Nadu,"Kalyani Kidney Care Centre, Erode",Private,NBEMS,2004,0,100
Gujarat,"KD Hospital, Ahmedabad",Private,NBEMS,2018,4,300
Assam,"Marwari Hospitals, Guwahati",Private,NBEMS,1956,6,200
Delhi,"Max Super Specialty Hospital, Saket",Private,NBEMS,2006,27,530
Karnataka,"Kasturba Medical College, Manipal",Deemed,"Manipal Academy of Higher Education (Deemed), Manipal",1953,222,2032
Karnataka,"Manasa Nursing Home, Shivamogga",Private,NBEMS,1979,2,100
Telangana,"Medivision Eye & Health Care Centre, Hyderabad",Private,NBEMS,1993,3,0
Tamil Nadu,"Mahathma Eye Hospital, Tiruchirappalli",Private,NBEMS,1997,2,21
Delhi,"Kalra Hospital & Shri Ram Cardiothoracic & Neuro Sciences Centre, Delhi",Private,NBEMS,1990,2,116
Karnataka,"KC General Hospital, Bangalore",Govt,NBEMS,1965,31,503
Maharashtra,"Kokilaben Dhirubhai Ambani Hospital & Medical Research Institute, Mumbai",Private,NBEMS,1999,22,550
Tamil Nadu,"Karpaga Vinayaga Institute of Medical Sciences, Maduranthagam",Private,"The Tamilnadu Dr. MGR Medical University, Chennai",2009,56,400
West Bengal,"Kothari Medical Centre, Kolkata",Govt,NBEMS,1997,0,400
Bihar,"MGM Hospital & Research Centre, Patna",Private,NBEMS,2009,1,150
Tamil Nadu,"Kanchi Kamakoti Childs Trust Hospital, Chennai",Private,NBEMS,1998,10,150
Kerala,"Metromed International Cardiac Centre, Calicut",Private,NBEMS,2012,0,200
Telangana,"Kamineni Institute of Medical Sciences, Narketpally",Private,"Dr. NTR University of Health Sciences, Vijayawada",1999,94,1060
Andhra Pradesh,"Katuri Medical College, Guntur",Private,"Dr. NTR University of Health Sciences, Vijayawada",2002,83,500
Gujarat,"Kiran Medical College, Surat",Private,"Veer Narmad South Gujarat University, Surat",2023,0,500
Kerala,"Malabar Hospitals, Manjeri",Private,NBEMS,2000,2,150
Andhra Pradesh,"Mydhili Hospital, Gudur",Private,NBEMS,2003,2,100
Tamil Nadu,"Sankara Netralaya Medical Research Foundation, Chennai",Private,"The Tamilnadu Dr. MGR Medical University, Chennai",1978,4,350
West Bengal,"Sarat Chandra Chattopadhyay Government Medical College & Hospital, Howrah",Govt,"West Bengal University of Health Sciences, Kolkata",2022,0,650
Nagaland,"Naga Hospital Authority, Kohima",Govt,NBEMS,2003,12,500
Karnataka,"Narayana Hrudayalaya Hospital, Hobli, Bangalore",Private,NBEMS,0,4,100
Delhi,"Park Hospital, Delhi",Private,NBEMS,2005,2,250
Telangana,"Kakatiya Medical College, Warangal",Govt,"Kaloji Narayana Rao University of Health Sciences, Warangal",1959,192,1150
Gujarat,"KG Patel Children Hospital & Jayodia Research Institute, Baroda",Private,NBEMS,1984,2,100
Delhi,"Lok Nayak Jai Prakash (LNJP) Hospital, Delhi",Govt,NBEMS,1936,2,2050
Kerala,"KIMS Al Shifa Hospital, Perinthalmanna",Private,NBEMS,1989,11,450
Bihar,"Madhubani Medical College, Madhubani",Private,"Aryabhatta Knowledge University, Patna",2019,65,500
Karnataka,"Manipal Hospital, Whitefield, Bangalore",Private,NBEMS,0,8,162
Punjab,"Johal Multispeciality Hospital, Jalandhar",Private,NBEMS,1999,4,150
Karnataka,"Kodagu Institute of Medical Sciences, Kodagu",Govt,"Rajiv Gandhi University of Health Sciences, Bangalore",2016,60,625
Bihar,"Kurji Holy Family Hospital, Patna",Private,NBEMS,1961,4,350
Uttar Pradesh,"Medanta Hospital, Lucknow",Private,NBEMS,0,12,900
Uttar Pradesh,"Integral Institute of Medical Sciences & Research, Lucknow",Private,"Integral University, Lucknow",2013,48,450
Andhra Pradesh,"KIMS Saveera Hospital, Anantapuram",Private,NBEMS,2015,5,250
Delhi,"Lady Hardinge Medical College, New Delhi",Govt,"Delhi University, Delhi",1916,175,1254
Telangana,"MAA ENT Hospitals, Hyderabad",Private,NBEMS,2001,1,20
Uttar Pradesh,"King George Medical University, Lucknow",Govt,"King Georges Medical University, Lucknow",1911,353,4500
Rajasthan,"Kothari Medical & Research Institute, Bikaner",Private,NBEMS,1998,2,150
Himachal Pradesh,"Maharishi Markandeshwar Medical College & Hospital, Solan",Private,"Maharishi Marakandeshwar University, Kumarhatti, Solan",2013,92,800
Maharashtra,"Manipal Hospital, Pune",Private,NBEMS,2013,4,100
Karnataka,"Jagadguru Gangadhar Mahaswamigalu Moorusavirmath Medical College (JGMMMC), Hubballi",Deemed,"KLE Academy of Higher Education & Research (Deemed), Belgaum",2021,0,330
Delhi,"Janakpuri Super Speciality Hospital Society (Government Autonomous), West Delhi",Govt,NBEMS,2008,0,300
Kerala,"Lakshmi Hospital, Cochin",Private,NBEMS,1979,1,200
Haryana,"Nidaan Hospital, Sonipat",Private,NBEMS,0,2,250
Uttar Pradesh,"Regency Hospital, Kanpur",Private,NBEMS,1995,15,0
Rajasthan,"RUHS College of Medical Sciences, Jaipur",Govt,"Rajasthan University of Health Sciences, Jaipur",2014,21,600
Tamil Nadu,"Naruvi Hospitals, Vellore",Private,NBEMS,2018,8,180
Rajasthan,"Jawaharlal Nehru Medical College, Ajmer",Govt,"Rajasthan University, Jaipur",1965,247,0
West Bengal,"Katwa Sub Divisional Hospital, Katwa",Govt,NBEMS,1971,4,100
Telangana,"MNJ Institute of Oncology & Cancer Regional Center, Hyderabad",Govt,NBEMS,1955,3,300
Jharkhand,"Medanta Abdur Razzaque Ansari Memorial Weavers Hospital, Ranchi",Private,NBEMS,1996,2,200
Rajasthan,"Jaipur National University Institute of Medical Sciences & Research Centre, Jaipur",Private,"Jaipur National University, Jaipur",2016,87,390
West Bengal,"Jalpaiguri Government Medical College, Jalpaiguri",Govt,"West Bengal University of Health Sciences, Kolkata",2020,11,500
Telangana,"Kamineni Academy of Medical Sciences & Research Center, Hyderabad",Private,"Kaloji Narayana Rao University of Health Sciences, Warangal",2013,93,500
Assam,Kokrajhar Medical College,Govt,"Srimanta Shankardeva University of Health Sciences, Guwahati",2023,0,500
Uttar Pradesh,"KMC Hospital & Research Centre, Meerut",Private,NBEMS,2004,1,150
Tamil Nadu,"Kovai Medical Centre, Coimbatore",Private,NBEMS,1990,35,1650
Karnataka,"Mahadevappa Rampure Medical College, Kalaburagi, Gulbarga",Private,"Rajiv Gandhi University of Health Sciences, Bangalore",1963,130,1023
Madhya Pradesh,"Jai Prakash District Government Hospital, Bhopal",Govt,NBEMS,1962,10,330
Maharashtra,"Kaushalya Medical Foundation, Thane",Private,NBEMS,2001,2,100
Maharashtra,"Krishna Institute of Medical Sciences, Karad",Deemed,"Krishna Institute of Medical Sciences University (Deemed), Karad",1984,145,1125
West Bengal,"Medica Superspecialty Hospital, Kolkata",Private,NBEMS,2010,17,500
West Bengal,"Jangipur SD Hospital, Murshidabad",Govt,NBEMS,1972,6,250
Odisha,"Kalinga Hospital, Bhubaneswar",Private,NBEMS,1990,3,250
Rajasthan,"Mahatma Gandhi Medical College & Hospital, Sitapur, Jaipur",Private,"Mahatma Gandhi University of Medical Science & Technology, Jaipur",2001,201,1000
Telangana,"Main Hospital, Kothagudem",Private,NBEMS,1960,1,0
Kerala,"Karuna Medical College, Palakkad",Private,"Kerala University of Health Sciences, Thrissur",2006,10,500
Delhi,"Kasturba Hospital, New Delhi",Govt,"Delhi University, Delhi",1905,5,450
Maharashtra,"KB Bhabha Municipal General Hospital, Mumbai",Govt,NBEMS,1914,14,436
Maharashtra,"MGM New Bombay Hospital, Navi Mumbai",Private,NBEMS,1993,4,400
Madhya Pradesh,"Jawahar Lal Nehru Cancer Hospital & Research. Centre, Bhopal",Private,NBEMS,1995,1,100
Telangana,"Malla Reddy Institute of Medical Sciences, Hyderabad",Private,"Kaloji Narayana Rao University of Health Sciences, Warangal",2012,166,200
Delhi,"Mata Chanan Devi Hospital, Delhi",Private,NBEMS,1990,15,210
Andhra Pradesh,"NRI Medical College, Guntur",Private,"Dr. NTR University of Health Sciences, Vijayawada",2003,119,800
Karnataka,"Nanjappa Hospital, Shimoga",Private,NBEMS,1987,4,200
Kerala,"Life Line Super Specialty Hospital, Adoor",Private,NBEMS,2005,16,150
Uttar Pradesh,"Manyawar Kanshiram District Combined Hospital & Trauma Center, Kanpur",Govt,NBEMS,2011,6,100
Tamil Nadu,"Joint Accr. Prashanth Hospitals (Prashanth Hospital, Madhavarm, Chennai), Velachery",Private,NBEMS,2013,4,500
Bihar,"Mahavir Cancer Sansthan & Research Centre, Patna",Private,NBEMS,1998,3,618
Karnataka,"Koppal Institute of Medical Sciences, Koppal",Govt,"Rajiv Gandhi University of Health Sciences, Bangalore",2015,54,500
Uttar Pradesh,"Institute of Mental Health & Hospital, Agra",Govt,"Dr BR Ambedkar University, Agra",1859,8,400
Punjab,"Joshi Hospital, Jalandhar",Private,NBEMS,1991,3,100
Uttar Pradesh,"Kailash Hospital Neuro Institute, Noida",Private,NBEMS,0,4,200
Delhi,"Maharaja Agrasen Hospital, New Delhi",Private,NBEMS,1991,15,400
Delhi,"Institute of Human Behaviour & Allied Sciences, Delhi",Govt,"Delhi University, Delhi",1993,12,300
Assam,"Lakhimpur Medical College, North Lakhimpur",Govt,"Srimanta Shankardeva University of Health Sciences, Guwahati",2021,0,0
Assam,"Lokopriya Gopinath Bordoloi Regional Institute of Mental Health, Tezpur",Govt,"Gauhati University, Guwahati",2010,11,0
West Bengal,"Islampur SDH/ISSH, Islampur",Govt,NBEMS,1970,2,250
Uttar Pradesh,"Krishna Mohan Medical College & Hospital, Mathura",Private,"Dr BR Ambedkar University, Agra",2016,66,500
Uttarakhand,"KVR Hospital, Kashipur",Private,NBEMS,2021,2,100
Kerala,"Malabar Institute of Medical Sciences (Aster MIMS), Kannur",Private,NBEMS,2019,8,300
Rajasthan,"MGM Government District Hospital, Hanumangarh",Govt,NBEMS,1952,10,300
Maharashtra,"Jagjivan Ram Railway Hospital, Mumbai",Public Sector,NBEMS,1960,18,361
Odisha,"Kalinga Institute of Medical Sciences, Bhubaneswar",Deemed,"KIIT University (Deemed), Bhubaneswar",2007,177,2600
Telangana,"KIMS Sunshine Hospital (Formerly Sunshine Hospital), Hyderabad",Private,NBEMS,2009,10,600
Karnataka,"Manipal Hospitals, Millers Road, Bangalore",Private,NBEMS,0,3,198
West Bengal,"Kalna SD & SS Hospital, Kalna",Govt,NBEMS,2014,3,200
Karnataka,"Kamakshi Hospital, Mysore",Private,NBEMS,1973,5,230
Karnataka,"Kerudi Hospital & Research Centre, Bagalkot",Private,NBEMS,1987,4,200
Madhya Pradesh,"Kushabhau Thakre District Hospital, Rewa",Govt,NBEMS,1965,2,100
Chhattisgarh,"Maharani Hospital, Jagdalpur",Govt,NBEMS,1960,1,400
Maharashtra,"Prakash Institute of Medical Sciences & Research, Sangli",Private,"Maharashtra University of Health Sciences, Nashik",2016,47,300
Madhya Pradesh,"Ruxmaniben Deepchand Gardi Medical College, Ujjain",Private,"Vikram University, Ujjain",2001,103,760
Jharkhand,"Sadar Hospital, Ranchi",Govt,NBEMS,2011,5,500
Karnataka,"Navodaya Medical College, Raichur",Private,"Rajiv Gandhi University of Health Sciences, Bangalore",2002,120,1110
Maharashtra,"Jupiter Lifeline Hospital, Pune",Private,NBEMS,2007,9,250
Uttar Pradesh,"Kaushalya Devi Eye Institue, Chauraha",Private,NBEMS,0,2,40
Tamil Nadu,"Kauvery Hospital, Chennai",Private,NBEMS,1999,9,200
Telangana,"Mamata Medical College, Khammam",Private,"Dr. NTR University of Health Sciences, Vijayawada",1998,134,850
West Bengal,"JIS School of Medical Science & Research, Howrah",Private,"JIS University, Kolkata",2023,0,300
Jammu & Kashmir,"JLNM Hospital, Srinagar",Govt,NBEMS,1889,23,0
Karnataka,"Manipal Hospital, Hebbal, Bangalore",Private,NBEMS,2005,3,100
Tamil Nadu,"Meenakshi Medical College & Research Institute, Enathur",Deemed,"Meenakshi University (Deemed), Chennai",2003,75,1200
Kerala,"Lourdes Hospital, Ernakulam",Private,NBEMS,1965,20,500
Maharashtra,"Kamalnayan Bajaj Hospital (Marathwada Medical & Research Institutes), Aurangabad",Private,NBEMS,1984,8,300
Bihar,"Mahavir Vatsalya Hospital, Patna",Private,NBEMS,2006,2,0
Madhya Pradesh,"Mittal Medicare & Hospital, Dhar",Private,NBEMS,2004,4,100
Tamil Nadu,"Lakshmi Madhavan Hospital, Tirunelveli",Private,NBEMS,1972,2,75
Tamil Nadu,"Institute of Ophthalmology Joseph Eye Hospital, Tiruchirapalli",Private,"The Tamilnadu Dr. MGR Medical University, Chennai",1980,8,100
Madhya Pradesh,"Jabalpur Hospital & Research Centre, Jabalpur",Private,NBEMS,1981,6,250
Telangana,"Mahavir Hospital & Research Centre, Hyderabad",Private,NBEMS,1978,2,220
Maharashtra,"Masina Hospital, Mumbai",Private,NBEMS,0,6,272
Kerala,"MES Medical College, Perinthalmanna, Malappuram",Private,"Kerala University of Health Sciences, Thrissur",2002,55,600
Punjab,"Ivy Health & Life Sciences, Amritsar",Private,NBEMS,2008,1,100
Uttar Pradesh,"Maharana Pratap District Combined Hospital, Bareilly",Govt,NBEMS,1940,3,0
Kerala,"Moulana Hospital, Perinthalmanna",Private,NBEMS,1990,4,510
Gujarat,"MP Shah Medical College, Jamnagar",Govt,"Saurashtra University, Rajkot",1955,203,850
Assam,"Narayana Superspeciality Hospital, Guwahati",Private,NBEMS,2013,2,350
Madhya Pradesh,"Nehru Shatabdi Chikitsalaya, Singrauli",Public Sector,NBEMS,1996,0,150
Maharashtra,"Pimpri Chinchwad Municipal Corporation PG Institute, Pimpri",Govt,"Maharashtra University of Health Sciences, Nashik",2019,52,750
Pondicherry,"Rajiv Gandhi Government Women & Children Hospital, Pondicherry",Govt,NBEMS,2010,15,700
Delhi,"Sanjay Gandhi Memorial Hospital, Delhi",Govt,NBEMS,1986,9,300
Haryana,"Sarvodaya Hospital & Research Centre, Faridabad",Private,NBEMS,1997,19,450
West Bengal,"Joint Accr. Narayana Superspecialty Hospital, Howrah & Narayana Multispeciality Hospital, Howrah",Private,NBEMS,2006,2,240
West Bengal,"Kakdwip SDH & SSH, South 24 Parganas",Govt,NBEMS,2014,1,250
Kerala,"Little Flower Hospital & Research Centre, Angamaly",Private,NBEMS,1936,19,610
Tamil Nadu,"Lotus Hospitals & Research Centre, Erode",Private,NBEMS,2000,2,202
Karnataka,"JJM Medical College, Davangere",Private,"Rajiv Gandhi University of Health Sciences, Bangalore",1965,246,1930
Gujarat,"Kiran Multi Super Speciality Hospital & Research Center, Surat",Private,NBEMS,2017,0,200
Kerala,"Kozhikode District Co-Operative Hospital, Kozhikode",Private,NBEMS,1973,5,175
Haryana,"Maharaja Agrasen Medical College, Agroha",Private,"Pt. BD. Sharma University of Health Sciences, Rohtak",2002,77,550
Odisha,"Ispat General Hospital, Rourkela",Public Sector,NBEMS,1959,16,600
Uttar Pradesh,"LPS Institute of Cardiology & Cardio Vascular Thoracic Surgery, Kanpur",Private,NBEMS,1975,0,100
Maharashtra,"Maharashtra Institute of Medical Education & Research, Talegaon, Pune",Private,"Maharashtra University of Health Sciences, Nashik",1994,41,800
Tamil Nadu,"Mehta Multispecialty Hospital, Chennai",Private,NBEMS,1987,10,150
Karnataka,"Metrounited Healthcare, Shivamogga",Private,NBEMS,2013,2,135
Tamil Nadu,"MN Eye Hospital, Chennai",Private,NBEMS,1986,2,50
Kerala,"KMCT Medical College, Kozhikode, Calicut",Private,"Kerala University of Health Sciences, Thrissur",2008,98,720
Gujarat,"Metas Adventist Hospital, Surat",Private,NBEMS,1923,4,0
Tamil Nadu,"Kilpauk Medical College, Chennai",Govt,"The Tamilnadu Dr. MGR Medical University, Chennai",1960,138,530
Madhya Pradesh,"Mahaveer Institute of Medical Sciences & Research, Bhopal",Private,"Madhya Pradesh Medical Science University, Jabalpur",2020,0,500
Andhra Pradesh,"Medicover Hospitals, Visakhapatnam",Private,NBEMS,0,2,650
Tamil Nadu,"Meenakshi Mission Hospital & Research Centre, Madurai",Private,NBEMS,1990,27,800
Andhra Pradesh,"MJ Naidu Super Specialty Hospital, Vijayawada",Private,NBEMS,1986,0,150
West Bengal,"Joint Accr. Narayana Superspecialty Hospital (Narayana Multispecialty Hospital, Chunavati), Howrah",Private,NBEMS,0,0,417
Haryana,"Kainos Super Speciality Hospital, Rohtak",Private,NBEMS,2015,9,0
Uttar Pradesh,"KD Medical College Hospital & Research Centre, Mathura",Private,"Dr BR Ambedkar University, Agra",2015,55,300
Maharashtra,"Kolhapur Cancer Centre, Kolhapur",Private,NBEMS,2003,1,125
Telangana,"Little Stars Childrens Hospitals, Hyderabad",Private,NBEMS,2005,0,50
West Bengal,"Maharaja Jitendra Narayan Medical College & Hospital, Coochbehar",Govt,NBEMS,2018,12,500
Chhattisgarh,"Late Shri Baliram Kashyap Memorial NDMC Government Medical College, Jagdalpur",Govt,"Pt. Ravishankar Shukla University, Raipur",2006,20,500
Odisha,"LV Prasad Eye Institute, Bhubaneswar",Private,NBEMS,2006,0,0
Karnataka,"Mandya Institute of Medical Sciences, Mandya",Govt,"Rajiv Gandhi University of Health Sciences, Bangalore",2006,90,500
Chandigarh,"Postgraduate Institute of Medical Education & Research, Chandigarh",Govt,"Statutory Autonomous, Chandigarh",1962,0,1850
Rajasthan,"Pacific Institute of Medical Sciences, Umarda, Udaipur",Private,"Sai Tirupati University, Udaipur",2015,158,400
West Bengal,"IQ City Medical College, Burdwan",Private,"West Bengal University of Health Sciences, Kolkata",2013,54,750
Andhra Pradesh,"Kurnool Medical College, Kurnool",Govt,"Dr. NTR University of Health Sciences, Vijayawada",1957,184,0
Kerala,"Malabar Institute of Medical Sciences (Aster MIMS), Kottakkal",Private,NBEMS,2009,8,200
Uttar Pradesh,"Jawaharlal Nehru Medical College, Aligarh",Govt,"Aligarh Muslim University, Aligarh",1961,222,1269
Maharashtra,"Mahatme Eye Bank & Eye Hospital, Nagpur",Private,NBEMS,1986,1,100
Kerala,"Malabar Institute of Medical Sciences (Aster MIMS), Calicut",Private,NBEMS,1995,32,600
Uttarakhand,"Max Super Specialty Hospital, Dehradun",Private,NBEMS,2012,3,200
Rajasthan,"Joint Accr. Divisional Railway Hospital, Ajmer & North Western Railway Central Hospital, Jaipur",Public Sector,NBEMS,1890,2,166
Delhi,"Lal Bahadur Shastri Hosptial, Delhi",Govt,NBEMS,1975,10,750
Bihar,"Mata Gujri Memorial Medical College, Kishanganj",Private,"Mata Gujri University, Kishanganj",1990,101,650
Pondicherry,"Jothi Eye Care Centre, Puducherry",Private,NBEMS,1998,1,10
Gujarat,"Medical College, Baroda",Govt,MS University of Baroda,1949,201,1270
Madhya Pradesh,"MGM Medical College, Indore",Govt,"Madhya Pradesh Medical Science University, Jabalpur",1948,279,2900
Uttar Pradesh,"Jaypee Hospital, Noida",Private,NBEMS,2014,12,504
Telangana,"Krishna Institute of Medical Sciences, Secunderabad",Private,NBEMS,2004,26,885
Andhra Pradesh,"Manipal Hospital, Vijayawada",Private,NBEMS,2006,1,350
West Bengal,"Narayana Superspecialty Hospital, Howrah",Private,NBEMS,2006,4,240
Maharashtra,"PIOS Medilinks Pvt Ltd, Sangli",Private,NBEMS,0,0,100
Punjab,"Lord Mahavir Civil Hospital, Ludhiana",Govt,NBEMS,1976,17,250
Delhi,"Maulana Azad Medical College, New Delhi",Govt,"Delhi University, Delhi",1958,246,2800
Jharkhand,"MGM Medical College, Jamshedpur",Govt,"Kolhan University, Chaibasa",1961,47,540
Tamil Nadu,"Kanyakumari Government Medical College, Asaripallam",Govt,"The Tamilnadu Dr. MGR Medical University, Chennai",2003,48,900
Odisha,"MKCG Medical College Hospital, Berhampur",Govt,NBEMS,1962,6,1200
Punjab,"Institute of Mental Health, Amritsar",Govt,NBEMS,1948,2,400
Maharashtra,"Jehangir Hospital, Pune",Private,NBEMS,2013,23,335
Karnataka,"KS Hospital, Koppal",Private,NBEMS,2015,7,200
Delhi,"Max Smart Super Specialty Hospital, Saket",Private,NBEMS,2013,12,250
Andhra Pradesh,"Medicover Hospitals, Kurnool",Private,NBEMS,2019,4,200
Punjab,"Mohandai Oswal Hospital, Ludhiana",Private,NBEMS,1984,15,300
Odisha,"JPM Rotary Eye Hospital & Research Institute, Cuttack",Private,NBEMS,1992,2,27
Karnataka,"Mallige Medical Centre, Bangalore",Private,NBEMS,1978,4,125
West Bengal,"Institute of Postgraduate Medical Education & Research (IPGMER), Kolkata",Govt,"West Bengal University of Health Sciences, Kolkata",1957,206,2300
Telangana,"Jyothi Hospital, Nalgonda",Private,NBEMS,1988,2,150
Karnataka,"Keshava Netralaya, Hassan",Private,NBEMS,1996,2,0
Uttar Pradesh,"Lok Bandhu Raj Narayan Combined Hospital, Lucknow",Govt,NBEMS,2010,9,318
Rajasthan,"Manipal Hospital, Jaipur",Private,NBEMS,2014,6,225
Rajasthan,"Jeevan Rekha Critical Care & Trauma Hospital Research & Training Institute, Jaipur",Private,NBEMS,2012,3,100
West Bengal,"JMN Medical College, Nadia",Private,"West Bengal University of Health Sciences, Kolkata",2023,0,400
Rajasthan,"Joint Accr. Sudha Medical College & Hospital, (Sudha Hospital & Medical Research Centre), Kota",Private,NBEMS,2018,2,400
Telangana,"Laxmi Narasimha Hospital, Warangal",Private,NBEMS,2005,6,100
Tamil Nadu,"Masonic Medical Centre for Children, Coimbatore",Private,NBEMS,1982,3,130
Punjab,"Max Super Specialty Hospital, Mohali",Private,NBEMS,1985,7,200
Bihar,"Jannayak Karpoori Thakur Medical College & Hospital, Madhupur",Govt,"Aryabhatta Knowledge University, Patna",2020,8,500
Telangana,"Pranaam Hospital, Hyderabad",Private,NBEMS,0,1,100
Haryana,"Pt. BD Sharma Postgraduate Institute of Medical Sciences, Rohtak",Govt,"Pt. BD. Sharma University of Health Sciences, Rohtak",1960,239,2080
Haryana,"Sarvodaya Multispeciality & Cancer Hospital, Hisar",Private,NBEMS,2007,1,100
Maharashtra,"Seth VC Gandhi & MA Vora Municipal General Hospital (Rajawadi Hospital), Mumbai",Govt,NBEMS,1958,18,596
Tamil Nadu,"Preethi Hospital, Madurai",Private,NBEMS,1997,9,100
Maharashtra,"Mahatma Gandhi Mission Medical College, Vashi",Deemed,"MGM Institute of Health Sciences (Deemed), Navi Mumbai",2023,0,250
Uttar Pradesh,"Maxwell Super Multispeciality Hospital, Varanasi",Private,NBEMS,2013,6,120
Chhattisgarh,"Kalda Burn & Plastic Surgery Centre, Raipur",Private,NBEMS,1990,0,120
Uttar Pradesh,"Life Line Hospital & Research Centre, Azamgarh",Private,NBEMS,2009,0,100
Madhya Pradesh,"Link Hospital, Gwalior",Private,NBEMS,2014,2,100
Kerala,"Mar Sleeva Medicity Palai, Palai",Private,NBEMS,0,20,648
Chhattisgarh,"MGM Eye Insitute, Raipur",Private,NBEMS,0,2,50
Tamil Nadu,"MIOT Hospital, Chennai",Private,NBEMS,1999,13,920
Tamil nadu,"Joint Accr. Aarthi Scans & Labs (Billroth Hospital), Chennai",Private,NBEMS,1985,1,350
Maharashtra,"Mahatma Gandhi Institute of Medical Sciences, Sevagram, Wardha",Private,"Maharashtra University of Health Sciences, Nashik",1969,82,972
Uttar Pradesh,"Max Super Specialty Hospital, Ghaziabad",Private,NBEMS,0,18,0
Karnataka,"Milann A Unit of BACC Healthcare, Bangalore",Private,NBEMS,1989,0,45
West Bengal,"Lalbagh Sub Division Hospital, Murshidabad",Govt,NBEMS,1970,6,100
Kerala,"IQRAA Hospital, Sulthan Bathery",Private,NBEMS,2005,2,100
Tamil Nadu,"KAP Viswanathan Government Medical College, Trichy",Govt,"The Tamilnadu Dr. MGR Medical University, Chennai",1998,104,900
Jharkhand,"Laxmi Chandravansi Medical College & Hospital, Bishrampur",Private,"Ramchandra Chandravansi University, Bishrampur",2021,0,330
Delhi,"Max Super Specialty Hospital, Patparganj, New Delhi",Private,NBEMS,2001,13,400
Punjab,"JBMM District Hospital, Amritsar",Govt,NBEMS,0,14,200
Jharkhand,"Kashyap Memorial Eye Hospital, Ranchi",Private,NBEMS,1966,4,32
Karnataka,"KVG Medical College, Sullia",Private,"Rajiv Gandhi University of Health Sciences, Bangalore",1999,75,682
Andhra Pradesh,"Lalitha Super Specialty Hospital, Guntur",Private,NBEMS,1990,16,200
Uttar Pradesh,"Maharshi Devraha Baba Autonomous State Medical College, Deoria",Govt,"Atal Bihari Vajpayee Medical University, Lucknow",2021,4,500
Rajasthan,"Mahatma Gandhi Hospital, Bhilwara",Govt,NBEMS,1964,26,750
Karnataka,"Kanachur Institute of Medical Sciences, Mangalore",Private,"Rajiv Gandhi University of Health Sciences, Bangalore",2016,44,785
Maharashtra,"KEM Hospital, Pune",Private,NBEMS,1912,22,550
Andhra Pradesh,"Konaseema Institute of Medical Sciences & Research Foundation, Amalapuram",Private,"Kaloji Narayana Rao University of Health Sciences, Warangal",2005,92,750
Tamil Nadu,"Krishna Hospital, Sattur",Private,NBEMS,1995,5,50
Gujarat,"Krishna Shalby Hospital, Ahmedabad",Private,NBEMS,2007,0,100
Karnataka,"KS Hegde Medical Academy, Mangalore",Deemed,"Nitte University (Deemed), Mangalore",1999,136,1000
Chhattisgarh,"Late Shri Lakhi Ram Agrawal Memorial Government Medical College, Raigarh",Govt,"Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",2013,28,0
Kerala,"Malankara Orthodox Syrian Church Medical College, Kolenchery",Private,"Kerala University of Health Sciences, Thrissur",2001,28,1100
Karnataka,"Manipal Hospital, Old Airport Road, Bangalore",Private,NBEMS,1991,41,600
Karnataka,"NU Hospital, Bangalore",Private,NBEMS,2015,0,100
Andhra Pradesh,"Sankara Netra Chikitsalaya, Vijayawada",Private,NBEMS,2005,5,50
Madhya Pradesh,"Peoples College of Medical Sciences & Research Centre, Bhopal",Private,"Peoples University, Bhopal",2005,102,1227
Bihar,"Jawaharlal Nehru Medical College, Bhagalpur",Govt,"Aryabhatta Knowledge University, Patna",1971,82,500
Kerala,"Mental Health Centre, Thiruvananthapuram",Govt,NBEMS,1870,2,507
Maharashtra,"Maharashtra Institute of Medical Sciences & Research, Latur",Private,"Maharashtra University of Health Sciences, Nashik",1990,44,680
Uttar Pradesh,"Major SD Singh Medical College & Hospital, Fathehgarh, Farrukhabad",Private,"CSJM University, Kanpur",2011,0,450
Karnataka,"Institute of Nephro Urology, Bangalore",Govt,"Rajiv Gandhi University of Health Sciences, Bangalore",2009,0,170
West Bengal,"Khatra Sub Divisional Hospital, Khatra",Govt,NBEMS,1971,1,100
Andhra Pradesh,"KIMS Icon Hospital, Visakhapatnam",Private,NBEMS,2017,2,434
Karnataka,"Manipal Hospital Whitefield, Hobli, Bangalore",Private,NBEMS,2016,17,284
Kerala,"Meitra Hospital, Calicut",Private,NBEMS,2017,0,220
Haryana,"Lala Harbhagwan Das Memorial & Dr. Prem Hospital, Panipat",Private,NBEMS,1978,10,100
Maharashtra,"Lokmanya Tilak Municipal Medical College, Mumbai",Govt,"Maharashtra University of Health Sciences, Nashik",1964,219,1850
Bihar,"Lord Buddha Koshi Medical College & Hospital, Saharsa",Private,"Bhupendra Narayan Mandal University, Madhepura",2019,47,300
