State,Institute,Institute Type,University,Year of Establishment,Total PG Seats,Total Hospital Beds
Andhra Pradesh,"Area Hospital, Kandukur",Govt,NBEMS,1985,1,100
Andhra Pradesh,"Area Hospital, Kuppam",Govt,NBEMS,1991,2,150
Andhra Pradesh,"Area Hospital, Nuzvid",Govt,NBEMS,1982,2,200
Madhya Pradesh,"Arihant Hospital & Research Centre, Indore",Private,NBEMS,2002,2,300
Delhi,"Army Hospital Research & Referral, New Delhi",AFMS,"Delhi University, Delhi",1999,60,994
Jharkhand,"Asarfi Hospital, Dhanbad",Private,NBEMS,2011,8,100
Maharashtra,"Asian Heart Institute & Research Centre, Bandra East, Mumbai",Private,NBEMS,2002,2,150
Maharashtra,"Asian Institute of Medical Sciences, Dombivli (E)",Private,NBEMS,2016,5,150
Uttar Pradesh,"Asian Vivekanand Superspeciality Hospital, Moradabad",Private,NBEMS,0,6,250
Maharashtra,"Aster Aadhar Hospital, Kolhapur",Private,NBEMS,1998,4,157
Uttar Pradesh,"Autonomous State Medical College & SNM District Hospital, Firozabad",Govt,NBEMS,1954,18,500
Uttar Pradesh,"Autonomous State Medical College, Fatehpur",Govt,"Atal Bihari Vajpayee Medical University, Lucknow",2021,0,0
Kerala,"Azeezia Institute of Medical Science, Kollam",Private,"Kerala University of Health Sciences, Thrissur",2008,21,540
Gujarat,"BJ Medical College, Ahmedabad",Govt,"Gujarat University, Ahmedabad",1946,418,2500
West Bengal,"BM Birla Heart Research Centre, Kolkata",Private,NBEMS,1989,2,210
Gujarat,"Banas Medical College & Research Institute, Palanpur, Gujarat",Private,"Hemchandracharya North Gujarat University, Patan",2018,0,0
Karnataka,"Bangalore West Lions Superspecialty Eye Hospital, Bangalore",Private,NBEMS,1984,2,17
West Bengal,"Barasat Government Medical College & Hospital, Kolkata",Govt,"West Bengal University of Health Sciences, Kolkata",2022,12,500
West Bengal,"Baruipur Sub Division Hospital, Baruipur",Govt,NBEMS,1970,2,100
Kerala,"Believers Church Medical College Hospital, Thiruvalla",Private,"Kerala University of Health Sciences, Thrissur",2016,18,490
Maharashtra,"Bhabha Atomic Research Centre, Mumbai",Govt,"Homi Bhabha National Institute (Deemed), Mumbai",1954,34,390
Haryana,"Bhagwan Das Hospital, Sonipat",Private,NBEMS,2019,4,105
Jharkhand,"Bhagwan Mahavir Medica Superspecialty Hospital, Ranchi",Private,NBEMS,2014,3,300
Karnataka,"Bhanavi Hospital, Mysore",Private,NBEMS,2013,2,100
Maharashtra,"Bharat Ratna Atal Bihari Vajpayee Medical College, Pune",Private,"Maharashtra University of Health Sciences, Nashik",2022,0,2400
Maharashtra,"Bhatia General Hospital, Mumbai",Private,NBEMS,1932,6,200
Chhattisgarh,"Bhattar Hospital (Balgopal Children Hospital & Research Institute), Raipur",Private,NBEMS,1999,4,118
Gujarat,"Bhavsinhji & Maharani Rupaliba General Hospital, Porbandar",Govt,NBEMS,1865,16,300
Odisha,"Bhima Bhoi Government Medical College & Hospital, Balangir",Govt,"Sambalpur University, Burla",2018,0,0
Madhya Pradesh,"Bhopal Memorial Hospital & Research Centre, Bhopal",Govt,"Madhya Pradesh Medical Science University, Jabalpur",1984,10,350
Maharashtra,"Breach Candy Hospital, Mumbai",Private,NBEMS,1946,18,213
Haryana,"CMC Hospital, Hisar",Private,NBEMS,2001,2,100
Telangana,"CMR Institute of Medical Sciences, Medchal",Private,"Kaloji Narayana Rao University of Health Sciences, Warangal",2023,0,750
Tamil Nadu,"CSI Kalyani General Hospital,, Chennai",Private,NBEMS,1909,10,220
Punjab,"Capitol Hospital, Jalandhar",Private,NBEMS,2014,2,185
Telangana,"Care Hospital, Banjara Hills, Hyderabad",Private,NBEMS,2000,17,435
Odisha,"Care Hospital, Bhubaneswar",Private,NBEMS,2016,4,205
Telangana,"Care Hospital, Hi Tech City, Hyderabad",Private,NBEMS,2000,5,220
Telangana,"Care Hospital, Hyderabad",Private,NBEMS,1997,6,305
Kerala,"Caritas Hospital, Kottayam",Private,NBEMS,1962,19,655
Bihar,"Central Super Speciality Hospital, Patna",Govt,NBEMS,2019,6,200
Delhi,"Centre for Sight, Delhi",Private,NBEMS,1996,2,15
Uttar Pradesh,"Chandra Mother & Eye Care, Lucknow",Private,NBEMS,2000,2,15
Chhattisgarh,"Chandulal Chandrakar Memorial Government. Medical College, Durg",Govt,"Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",2013,0,750
Karnataka,"Chikkamagaluru Institute of Medical Sciences, Chikkamagaluru",Govt,"Rajiv Gandhi University of Health Sciences, Bangalore",1932,0,400
Punjab,"Chintpurni Medical College (The White Medical College & Hospital), Pathankot",Private,"Baba Farid University of Health Sciences, Faridkot",2011,0,320
Rajasthan,"Chirayu Hospital, Jaipur",Private,NBEMS,2015,3,200
West Bengal,"Chittaranjan National Cancer Institute, Kolkata",Govt,NBEMS,1950,11,400
Tamil Nadu,"Christian Fellowship Hospital, Oddanchatram",Private,NBEMS,1955,13,300
Uttar Pradesh,"City Hospital, Gorakhpur",Private,NBEMS,2014,2,112
Mizoram,"Civil Hospital, Aizawl",Govt,NBEMS,1896,11,300
West Bengal,"Contai Sub Divisional Hospital, Contai",Govt,NBEMS,2014,2,250
West Bengal,"Coochbehar Government Medical College & Hospital, Coochbehar",Govt,"West Bengal University of Health Sciences, Kolkata",2019,0,500
Kerala,"Cosmopolitan Hospital, Trivandrum",Private,NBEMS,1982,15,360
Uttar Pradesh,"Cosmos Hospital, Moradabad",Private,NBEMS,2004,1,120
Gujarat,"Cottage Hospital, Rajkot",Govt,NBEMS,1955,2,150
Rajasthan,"Dana Shivam Heart & Superspeciality Hospital, Jaipur",Private,NBEMS,2015,0,100
Punjab,"Dayanand Medical College & Hospital, Ludhiana",Private,"Baba Farid University of Health Sciences, Faridkot",1963,101,1625
Maharashtra,"Deenanath Mangeshkar Hospital & Research Centre, Pune",Private,NBEMS,2001,36,800
Delhi,"Delhi Heart & Lung Institute, Delhi",Private,NBEMS,2003,1,100
Rajasthan,"Dhanwantri Hospital & Research Centre, Jaipur",Private,NBEMS,1994,1,100
Odisha,"Dharanidhar Medical College & Hospital (DDMCH), Keonjhar",Govt,"MSCBD University, Baripada",2016,0,500
Haryana,"District Civil Hospital, Rewari",Govt,NBEMS,1885,1,200
Chhattisgarh,"District Hospital, Baikunthapur",Govt,NBEMS,0,0,0
Karnataka,"District Hospital, Dharwad",Govt,NBEMS,0,24,250
Uttarakhand,"Doon Medical College, Dehradun",Govt,"Hemwati Nandan Bahuguna Uttarakhand Medical Education University, Dehradun",2016,60,436
Andhra Pradesh,"Dr. Anji Reddy Super Specialities Hospital, Narasaraopet",Private,NBEMS,2007,2,100
Rajasthan,"Dr. SN Medical College, Jodhpur",Govt,"Rajasthan University of Health Sciences, Jaipur",1965,182,0
Madhya Pradesh,"ESIC Model Hospital & Occupational Disease Centre, Indore",Govt,NBEMS,1982,7,300
Tamil Nadu,"Faculty of Medicine, Sri Lalithambigai Medical College & Hospital",Private,"The Tamilnadu Dr. MGR Medical University, Chennai",2021,0,600
Maharashtra,"General Hospital, Amravati",Govt,NBEMS,1914,1,700
Rajasthan,"Gheesibai Memorial Mittal Hospital & Research Centre, Ajmer",Private,NBEMS,2005,6,250
Tamil Nadu,"Government Head Quarters Hospital, Kancheepuram",Govt,NBEMS,1982,3,200
Tamil Nadu,"Government Head Quarters Hospital, Karaikudi",Govt,NBEMS,1963,2,400
Rajasthan,"Government Medical College, Dungarpur",Govt,"Rajasthan University of Health Sciences, Jaipur",2018,4,300
Punjab,"Amandeep Hospital, Amritsar",Private,NBEMS,1990,4,200
Andhra Pradesh,"APL & ANR Area Hospital, Gudiwada",Govt,NBEMS,2003,6,100
