Round,AI Rank,State,Institute,Course,Quota,Category,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,
1,1177,Delhi,"ABVIMS (Dr RML Hosp), Delhi",OBG,AIQ,GEN,"? 51,000","? 136,008",1,"? 2,000,000",1626,
1,1178,Madhya Pradesh,"Gajra Raja Med Coll, Gwalior",RADIO DIAGNOSIS,AIQ,OBC,"?1,01,500","? 75,444",1,"?10,00,000",1100,
1,1179,Odisha,"VIMSAR, Burla",GENERAL MEDICINE,AIQ,GEN,"?35,000","? 73,042",2,"?55,09,464",1071,
1,1180,Maharashtra,"Pimpri Chinchwad, Pimpri",GENERAL MEDICINE,AIQ,GEN,"?1,57,100","? 93,559",1,"? 5,000,000",750,
1,1181,Andhra Pradesh,"Rangaraya Med Coll, Kakinada",RADIO DIAGNOSIS,AIQ,OBC,"?30,000","? 60,823",0,?0,1450,
1,1182,Delhi,"ABVIMS (Dr RML Hosp), Delhi",RADIO DIAGNOSIS,IP,GEN,"? 51,000","? 136,008",1,"? 2,000,000",1626,
1,1183,Andhra Pradesh,"SV Med Coll, Tirupati",GENERAL MEDICINE,AIQ,GEN,"?30,000","? 60,823",0,?0,940,
1,1184,Maharashtra,"GovtMedColl,ChhatrapatiSambhajiNgr",DERMATOLOGY,AIQ,GEN,"?1,57,100","? 93,559",1,"? 5,000,000",1177,
1,1185,Telangana,"Gandhi Med Coll, Secunderabad",OBG,AIQ,GEN,"?15,000","? 67,032",1,"? 2,000,000",1200,
1,1189,Rajasthan,"SMS, Jaipur",GENERAL SURGERY,AIQ,GEN,"?14,093","?87,216",2,"? 10,000,000",5702,
1,1190,Jammu and Kashmir,"Govt Med Coll, Jammu",GENERAL MEDICINE,AIQ,GEN,"?25,000","? 63,240",0,?0,2663,
1,1191,Andhra Pradesh,"Govt Med Coll, Ananthapuram",RADIO DIAGNOSIS,AIQ,GEN,"?30,000","? 60,823",0,?0,500,
1,1192,West Bengal,Calcutta National Med Coll,GENERAL MEDICINE,AIQ,GEN,"?12,000","? 61,634",3,"?30,00,000",1470,
1,1193,Maharashtra,"Govt Med Coll, Latur",GENERAL MEDICINE,AIQ,GEN,"?1,57,100","? 93,559",1,"? 5,000,000",750,
1,1194,Bihar,"Patna Med Coll, Patna",DERMATOLOGY,AIQ,GEN,"?9,000","? 82,000",2,"?25,00,000",1748,
1,1195,Delhi,"UCMS, Delhi",OBG,AIQ,GEN,"?47,220","?1,32,336",1,"? 2,000,000",1000,
1,1196,Delhi,"Holy Family Hospital, Delhi",DNBRADIO DIAGNOSIS,DNB Post MBBS,GEN,"? 125,000","? 82,150",0,? 0,345,
1,1197,Maharashtra,"Indira Gandhi MedColl, Nagpur",GENERAL MEDICINE,AIQ,GEN,"?1,57,100","? 93,559",1,"? 5,000,000",822,
1,1199,Rajasthan,"SNMC, Jodhpur",GENERAL MEDICINE,AIQ,EWS,"?14,093","?87,216",2,"? 15,000,000",3101,
1,1200,Tamil Nadu,Tirunelveli Med Coll,GENERAL MEDICINE,AIQ,OBC,"?50,000","?54,025",2,"?40,00,000",1737,
1,1201,Karnataka,"IGICH, Bangalore",PAEDIATRICS,AIQ,GEN,"?1,23,400","? 56,250",1,"?50,00,000",500,
1,1203,Gujarat,"BJMC, Ahmedabad",GENERAL SURGERY,AIQ,GEN,"?30,000","? 100,800",1,"?40,00,000",1557,
1,1204,Delhi,"MAMC, Delhi",GENERAL MEDICINE,AIQ,SC,"?16,200","?1,32,336",1,"? 2,000,000",2800,
1,1205,West Bengal,Calcutta National Med Coll,GENERAL MEDICINE,AIQ,GEN,"?12,000","? 61,634",3,"?30,00,000",1470,
1,1206,Andhra Pradesh,"SVIMS, Tirupati",GENERAL MEDICINE,AIQ,GEN,"?1,75,000","? 96,951",1,"?40,00,000",1257,
1,1207,Tamil Nadu,"Madras Med Coll, Chennai",GENERAL MEDICINE,AIQ,EWS,"?50,000","?54,025",2,"?40,00,000",7285,
1,1208,Maharashtra,"HBT & RN Cooper, Mumbai",GENERAL MEDICINE,AIQ,OBC,"?1,57,100","? 93,559",1,"? 5,000,000",940,
1,1209,Telangana,"Osmania Med Coll, Hyderabad",DERMATOLOGY,AIQ,GEN,"?15,000","? 67,032",1,"? 2,000,000",4800,
1,1211,Karnataka,"Mandya IMS, Mandya",GENERAL MEDICINE,AIQ,EWS,"?1,23,400","? 56,250",1,"?50,00,000",910,
